Locus,Consensus.RSID,Consensus.ID,CredSet.RSID,Total.size,GWAS.nom.sig.size,GWAS.sig.size,CredSet.size,Consensus.size,GWAS.lead_Consensus,psychENCODE_eQTL.sig_Consensus,Fairfax_2014_CD14.sig_Consensus,Fairfax_2014_IFN.sig_Consensus,Fairfax_2014_LPS2.sig_Consensus,Fairfax_2014_LPS24.sig_Consensus,Cardiogenics_macrophages.sig_Consensus,Cardiogenics_monocytes.sig_Consensus,MESA_CAU.sig_Consensus,GWAS.lead_CredSet,psychENCODE_eQTL.sig_CredSet,Fairfax_2014_CD14.sig_CredSet,Fairfax_2014_IFN.sig_CredSet,Fairfax_2014_LPS2.sig_CredSet,Fairfax_2014_LPS24.sig_CredSet,Cardiogenics_macrophages.sig_CredSet,Cardiogenics_monocytes.sig_CredSet,MESA_CAU.sig_CredSet,ABF.PP,SUSIE.PP,POLYFUN_SUSIE.PP,FINEMAP.PP,mean.PP,QTL.count,Effect,psychENCODE_eQTL.Effect,Fairfax_2014_CD14.Effect,Fairfax_2014_IFN.Effect,Fairfax_2014_LPS2.Effect,Fairfax_2014_LPS24.Effect,Cardiogenics_macrophages.Effect,Cardiogenics_monocytes.Effect,MESA_CAU.Effect,MAF,mean.PP_avg,QTL.count_avg,Novel.Locus,GWAS.lead_Consensus.any,GWAS.lead_CredSet.any
RETREG3,rs12951632,17:40741013,"rs12938897, rs12938909, rs12948909, rs12951632, rs12953018, rs142009207, rs2355372, rs2676532, rs60399446, rs615942, rs647397, rs650558, rs665268, rs66918837, rs68058972, rs6963, rs72628307",1055,214,16,17,1,Y,Y,N,N,N,N,N,N,N,"N, N, N, Y, N, N, N, N, N, N, N, N, N, N, N, N, N","N, Y, N, Y, Y, N, Y, Y, N, N, N, N, N, Y, Y, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N",0.1,1,0,1,0.525,1,0.064,0.092,0.046,0.146,-0.039,0.022,-0.355,-0.359,0.017,0.265,0.525099970952494,1,N,TRUE,TRUE
STK39,rs1474055,2:169110394,"rs10170438, rs11902894, rs12987123, rs13016703, rs13033661, rs13392079, rs1400645, rs1474055, rs1955337, rs2102808, rs2203703, rs2390639, rs2390669, rs4458184, rs4613239, rs4667572, rs58843270, rs7579390, rs77343714, rs908594, rs954221",1948,690,111,21,1,Y,N,Y,N,N,N,N,N,N,"N, N, N, N, N, N, N, Y, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","Y, N, Y, Y, N, Y, Y, Y, Y, Y, Y, Y, Y, N, Y, N, N, Y, N, N, Y","N, N, N, N, N, Y, N, N, N, N, N, N, N, N, N, N, N, N, Y, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","Y, N, N, Y, N, N, Y, N, N, N, Y, Y, N, N, N, Y, N, Y, N, N, Y",0.306,1,0,1,0.577,1,0.18,0.072,-0.561,-0.291,-0.269,0.097,NA,NA,NA,0.131,0.576537635234655,1,N,TRUE,TRUE
FCGR2A,rs6658353,1:161469054,"rs10800309, rs111818479, rs113002559, rs16832871, rs4233371, rs4656308, rs4657039, rs4657041, rs57421557, rs60574804, rs6658353, rs6671847, rs74963273, rs7512140, rs7515174, rs7551957",1875,408,8,16,1,Y,N,N,N,N,N,N,N,N,"N, N, N, N, N, N, N, N, N, N, Y, N, N, N, N, N","N, Y, N, N, N, N, N, N, Y, N, N, N, Y, N, N, N","N, N, N, N, N, N, Y, N, N, N, N, N, N, Y, Y, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N",0.473,1,0,1,0.618,0,0.065,-0.085,-0.34,-0.226,-0.38,-0.3,0.245,-0.334,NA,0.499,0.618156365641305,0,Y,TRUE,TRUE
HIP1R,rs10847864,12:123326598,"rs10734918, rs10744209, rs10773167, rs10846792, rs10847839, rs10847864, rs11057797, rs11060180, rs12817488, rs190345452, rs1973463, rs2271050, rs2343685, rs3817094, rs4758643, rs4759368, rs73228032, rs897392",1169,747,63,18,1,Y,N,N,N,N,N,N,N,N,"N, N, N, N, N, Y, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, Y, Y, N, N, N, Y","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N",1,1,0,1,0.75,0,0.148,NA,NA,NA,NA,NA,NA,NA,NA,0.364,0.749997182548234,0,N,TRUE,TRUE
IGSF9B,rs3802920,11:133787001,"rs10894748, rs10894769, rs11223625, rs117998008, rs12273396, rs12287285, rs12785628, rs167915, rs188710963, rs2156677, rs2851124, rs329667, rs3802920, rs3802921, rs500166, rs7112045, rs73032046",1813,528,87,17,1,Y,N,N,N,N,N,N,N,N,"N, N, N, N, N, N, N, N, N, N, N, N, Y, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N",0.442,1,0,1,0.611,0,0.107,NA,0.099,0.132,-0.265,0.09,NA,NA,NA,0.205,0.610572831081882,0,N,TRUE,TRUE
IP6K2,rs12497850,3:48748989,"rs10865952, rs111881466, rs112073313, rs11706277, rs11714176, rs11716371, rs12493578, rs12497850, rs13069029, rs13071960, rs13096366, rs34037363, rs34749846, rs4858798, rs4858828, rs4858831, rs6769821, rs6788650, rs6796790, rs71323395, rs71323396, rs7630742, rs7632297, rs7633840, rs9812200, rs9882443",715,535,93,26,1,Y,N,N,N,N,N,N,N,N,"N, N, N, N, N, N, N, Y, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","Y, Y, Y, N, Y, N, N, N, Y, Y, N, N, N, N, N, N, N, N, N, Y, Y, Y, Y, Y, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N",0.194,1,0,1,0.549,0,0.064,NA,0.139,0.128,0.087,0.215,0.795,0.604,-0.016,0.352,0.548508891665045,0,N,TRUE,TRUE
ITPKB,rs4653767,1:226916078,"rs10495249, rs10495258, rs112404182, rs12133428, rs12729579, rs12731330, rs1304324, rs149905768, rs2777841, rs2813972, rs3768424, rs4653767, rs602521, rs61835630, rs697852, rs708770, rs708773, rs708774, rs708775, rs76537824, rs835673",2140,558,39,21,1,Y,N,N,N,N,N,N,N,N,"N, N, N, N, N, N, N, N, N, N, N, Y, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, Y, Y, N, Y, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N",0.32,1,0,1,0.58,0,0.083,0.038,-0.109,-0.202,-0.126,-0.024,NA,NA,-0.02,0.28,0.579967411901904,0,N,TRUE,TRUE
MBNL2,rs4771268,13:97865021,"rs11616434, rs11839598, rs11839600, rs11839914, rs12427743, rs12857201, rs2055424, rs2209943, rs2282423, rs4771263, rs4771267, rs4771268, rs7329296, rs7332323, rs7983632, rs950156, rs9513220, rs9516854, rs9516866, rs9556686",1201,381,7,20,1,Y,N,N,N,N,N,N,N,N,"N, N, N, N, N, N, N, N, N, N, N, Y, N, N, N, N, N, N, N, N","N, Y, Y, Y, N, N, N, N, N, Y, N, N, N, Y, N, Y, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, Y, N, Y, N, Y, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, Y, N, Y, Y, Y, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, Y, N, Y, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, Y, N, Y, N, Y, N",0.598,1,0,1,0.65,0,0.068,NA,0.086,0.141,-0.074,0.201,NA,NA,-0.032,0.23,0.649602711754707,0,Y,TRUE,TRUE
MCCC1,rs10513789,3:182760073,"rs10513789, rs10937108, rs11718831, rs12637471, rs13072934, rs1566705, rs2125109, rs2292056, rs34822404, rs3772722, rs4859227, rs4859267, rs9290739, rs9290750, rs9290751, rs9823766, rs9827649, rs9838309, rs9858038, rs9879377, rs9882050",1884,427,176,21,1,Y,N,N,N,N,N,N,N,N,"Y, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, Y, Y, N, N, N, N, N, Y, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, Y, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, Y, Y, N, N, N, N, N, Y, N, N, N, N, N, N, N, N, N",0.392,1,0,1,0.598,0,0.148,NA,0.008,-0.293,-0.104,-0.214,NA,NA,-0.028,0.189,0.598111524057943,0,N,TRUE,TRUE
RIMS1,rs12528068,6:72487762,"rs12210333, rs12528068, rs12529065, rs1932324, rs2807529, rs2807535, rs4492162, rs66472504, rs6930079, rs72924843, rs77251181, rs9358985, rs9360510, rs9442714",2148,716,5,14,1,Y,N,N,N,N,N,N,N,N,"N, Y, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N",0.272,0.969,0,1,0.56,0,0.066,NA,0.064,0.037,-0.056,0.129,NA,NA,NA,0.284,0.560105366691811,0,Y,TRUE,TRUE
RNF141,rs7938782,11:10558777,"rs10500727, rs10770084, rs111725732, rs11826750, rs12275930, rs12421214, rs2054390, rs34866590, rs4284389, rs7111477, rs7121704, rs7131507, rs72859123, rs7932321, rs7932988, rs7936626, rs7938782",2357,259,18,17,1,Y,N,N,N,N,N,N,N,N,"N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, Y","N, N, Y, N, Y, Y, Y, N, N, N, N, Y, N, N, N, Y, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N",0.092,1,0,1,0.523,0,0.087,NA,-0.408,-0.185,-0.165,-0.342,NA,0.379,-0.091,0.122,0.522972449379743,0,Y,TRUE,TRUE
TMEM175,rs34311866,4:951947,"rs10023660, rs1051613, rs10516158, rs11248044, rs11248059, rs11248060, rs116813973, rs11728344, rs11734742, rs2279183, rs2279185, rs28410128, rs34311866, rs3733349, rs3755958, rs4690326, rs55784607, rs56157509, rs56353809, rs56396408, rs62294129, rs62294491, rs6599389, rs73060334, rs73792041, rs74469192, rs76051363, rs873785",2107,851,198,28,1,Y,N,N,N,N,N,N,N,N,"N, N, N, N, N, N, N, N, N, N, N, N, Y, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, Y, N, N, Y, N, N, N, Y, N, Y, Y, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, Y, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N",1,1,0,0,0.5,0,-0.213,NA,-0.215,-0.265,-0.278,-0.147,0.501,0.637,-0.054,0.194,0.5,0,N,TRUE,TRUE
CLCN3,"rs6828248, rs7434295","4:170562784, 4:170563946","rs10008549, rs10084904, rs10866341, rs113841075, rs11722212, rs11726502, rs13136720, rs13212, rs28364750, rs4078327, rs4482723, rs4544675, rs60321447, rs62333164, rs6828248, rs6839362, rs6840471, rs7434295, rs75155513",1910,778,8,19,2,"N, N","Y, Y","N, N","N, N","N, N","N, N","N, N","N, N","N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, Y, N, N, N, N, N","N, Y, N, Y, Y, Y, Y, N, Y, Y, N, N, Y, N, Y, Y, N, Y, Y","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","0.243, 0.107","1, 1","0, 0","1, 1","0.561, 0.527","1, 1","-0.062, 0.063","0.078, 0.084","-0.21, -0.185","-0.313, -0.32","-0.087, -0.11","-0.195, -0.25","NA, NA","NA, NA","NA, 0.026","0.34, 0.304",0.543849475664166,1,Y,FALSE,TRUE
LRRK2,"rs7294619, rs76904798","12:40617202, 12:40614434","rs11175620, rs112677925, rs1491942, rs1907630, rs2201144, rs2638250, rs7133009, rs72644819, rs7294619, rs7307329, rs7307718, rs74324737, rs747644, rs76826991, rs76904798, rs77222415",2291,1173,199,16,2,"N, Y","Y, N","Y, Y","Y, Y","N, N","Y, Y","N, N","N, N","Y, Y","N, N, N, N, N, N, N, N, N, N, N, N, N, N, Y, N","Y, N, N, N, N, N, N, N, Y, N, N, Y, N, N, N, N","Y, N, Y, N, N, Y, N, Y, Y, N, N, Y, N, N, Y, N","Y, Y, Y, Y, N, Y, N, Y, Y, N, N, Y, N, N, Y, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","Y, N, Y, N, N, N, N, N, Y, N, N, Y, N, Y, Y, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, Y, N, N, Y, N, Y, Y, N","0, 1","1, 0","0, 0","1, 1","0.5, 0.5","5, 4","-0.128, 0.144","0.098, NA","0.696, 0.673","0.917, 0.861","0.456, 0.421","0.983, 0.886","-0.546, NA","-0.698, NA","0.135, 0.134","0.122, 0.144",0.499999997671668,4.5,N,TRUE,TRUE
GS1-124K5.11,"rs76949143, rs77107403","7:66009851, 7:66253952","rs10266792, rs10275242, rs111729068, rs12537557, rs13241598, rs3800814, rs4718424, rs4718430, rs6958030, rs71563150, rs73143909, rs76949143, rs77107403, rs7782418, rs78967849",1516,395,1,15,2,"Y, N","Y, Y","N, N","N, N","N, N","N, N","N, N","N, N","N, N","N, N, N, N, N, N, N, N, N, N, N, Y, N, N, N","Y, Y, Y, Y, Y, N, N, Y, Y, Y, N, Y, Y, Y, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","0.779, 0.004","0.992, 1","0, 0","1, 1","0.693, 0.501","1, 1","-0.143, 0.108","0.282, 0.348","NA, NA","NA, NA","NA, NA","NA, NA","NA, NA","NA, NA","NA, NA","0.051, 0.054",0.596975860048227,1,Y,TRUE,TRUE
TMEM163,"rs4553872, rs57891859","2:135459255, 2:135464616","rs10928510, rs12471329, rs1400498, rs16830921, rs17698151, rs4553872, rs57891859, rs58258503, rs62171378, rs6730778, rs6734966, rs72974315, rs72974321, rs73958781, rs7577270, rs76096260, rs76690889, rs77422475, rs77768633",1038,569,37,19,2,"N, Y","N, N","N, N","N, N","N, N","N, N","N, N","N, N","N, N","N, N, N, N, N, N, Y, N, N, N, N, N, N, N, N, N, N, N, N","Y, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, Y, N, N, N, N, N, N, N, N, N, N","N, N, N, N, Y, N, N, N, Y, N, N, N, N, N, N, N, N, Y, N","N, N, N, N, Y, N, N, N, Y, N, N, N, N, N, N, N, N, Y, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","0, 1","1, 0","0, 0","1, 1","0.5, 0.5","0, 0","-0.066, 0.081","NA, NA","-0.048, -0.02","0.144, 0.164","0.256, 0.273","-0.112, -0.055","NA, -0.287","NA, NA","NA, NA","0.177, 0.282",0.499951460400408,0,N,TRUE,TRUE
CRHR1,"rs11654640, rs117615688, rs62053943, rs7225002","17:44162230, 17:43798308, 17:43744203, 17:44189067","rs113100008, rs11654640, rs117615688, rs2158258, rs2258689, rs2471737, rs28689858, rs60645916, rs62053943, rs66524664, rs713522, rs7213077, rs7221167, rs7222658, rs7225002, rs73984616, rs8079215",636,477,122,17,4,"N, N, Y, N","N, N, N, N","N, N, N, N","N, N, N, N","N, N, N, N","N, N, N, N","N, N, N, N","N, N, N, N","N, N, N, N","N, N, N, N, N, N, N, N, Y, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N","0, 0, 1, 0","1, 1, 1, 1","0, 0, 0, 0","1, 1, 1, 1","0.5, 0.5, 0.75, 0.5","0, 0, 0, 0","-0.102, -0.232, -0.27, 0.135","NA, NA, NA, NA","-0.055, NA, NA, 0.079","-0.105, NA, NA, 0.123","-0.103, NA, NA, 0.203","0.135, NA, NA, -0.079","NA, NA, NA, NA","NA, NA, NA, NA","0.028, NA, NA, 0.044","0.463, 0.067, 0.155, 0.391",0.5625,0,N,TRUE,TRUE
HLA-DRB5,"rs112485576, rs35118762, rs532965, rs601945","6:32578772, 6:32560631, 6:32577973, 6:32573415","rs112485576, rs34039593, rs35118762, rs532965, rs601945, rs617578",3178,653,96,6,4,"Y, N, N, N","N, N, N, N","N, N, N, N","N, N, N, N","N, N, N, N","N, N, N, N","N, N, N, N","N, N, N, N","N, N, N, N","Y, N, N, N, N, N","N, N, N, N, N, N","N, N, N, N, N, N","N, N, N, N, N, N","N, N, N, N, N, N","N, N, N, N, N, N","N, N, N, N, N, N","N, N, N, N, N, N","N, N, N, N, N, N","NA, NA, NA, NA","NA, NA, NA, NA","NA, NA, NA, NA","NA, NA, NA, NA","0, 0, 0, 0","0, 0, 0, 0","-0.168, -0.163, 0.164, 0.152","NA, NA, NA, NA","0.1, 0.168, 0.099, 0.096","0.13, 0.22, 0.125, 0.119","0.201, 0.283, 0.199, 0.199","0.056, 0.119, 0.05, 0.059","NA, NA, -0.566, NA","NA, NA, 0.625, NA","NA, NA, NA, NA","0.163, 0.162, 0.159, 0.157",0,0,N,TRUE,TRUE
