RefSeq_ID	Entrez_Gene_ID	Symbol	Probe_Id	Chromosome	Probe_Coordinates	Definition
NM_018243.2	55752	SEPT11	ILMN_1788778	4	77959648-77959697	Homo sapiens septin 11 (SEPT11), mRNA.
NM_002279.3	3884	KRT33B	ILMN_1770015	17	39519872-39519921	Homo sapiens keratin 33B (KRT33B), mRNA.
NR_002168.1	153743	PPP1R2P3	ILMN_2045610	5	156211644-156211693	Homo sapiens protein phosphatase 1, regulatory (inhibitor) subunit 2 pseudogene 3 (PPP1R2P3), non-coding RNA.
NM_015308.1	23360	FNBP4	ILMN_2108938	11	47694982-47695031	Homo sapiens formin binding protein 4 (FNBP4), mRNA.
NM_001025190.1	401827	MSLNL	ILMN_1658207	16	819476-819525	Homo sapiens mesothelin-like (MSLNL), mRNA.
NM_004263.3	10505	SEMA4F	ILMN_1805007	2	74762340-74762389	Homo sapiens sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4F (SEMA4F), mRNA.
NM_003949.2	9001	HAP1	ILMN_1791533	17	37137135-37137184	Homo sapiens huntingtin-associated protein 1 (neuroan 1) (HAP1), transcript variant 1, mRNA.
NM_004918.2	9623	TCL1B	ILMN_2382309	14	95228587-95228636	Homo sapiens T-cell leukemia/lymphoma 1B (TCL1B), transcript variant 1, mRNA.
NM_005620.1	6282	S100A11	ILMN_1750101	1	152005037-152005086	Homo sapiens S100 calcium binding protein A11 (S100A11), mRNA.
NM_032924.3	7551	ZNF3	ILMN_1786215	7	99669121-99669170	Homo sapiens zinc finger protein 3 (ZNF3), transcript variant 2, mRNA.
NM_032924.3	7551	ZNF3	ILMN_1778560	7	99668019-99668068	Homo sapiens zinc finger protein 3 (ZNF3), transcript variant 2, mRNA.
NM_014666.2	9685	CLINT1	ILMN_1745076	5	157214041-157214090	Homo sapiens clathrin interactor 1 (CLINT1), mRNA.
NM_003708.3	8608	RDH16	ILMN_1810000	12	57345331-57345380	Homo sapiens retinol dehydrogenase 16 (all-trans) (RDH16), mRNA.
NM_025031.2	80099	C7orf69	ILMN_1695301	7	47824291-47824318:47825630-47825651	Homo sapiens chromosome 7 open reading frame 69 (C7orf69), mRNA.
NM_001218.3	771	CA12	ILMN_2382942	15	63616119-63616168	Homo sapiens carbonic anhydrase XII (CA12), transcript variant 1, mRNA.
NM_153042.3	221656	KDM1B	ILMN_1781537	6	18223514-18223563	Homo sapiens lysine (K)-specific demethylase 1B (KDM1B), mRNA.
NM_014246.1	9620	CELSR1	ILMN_1694482	22	46756929-46756978	Homo sapiens cadherin, EGF LAG seven-pass G-type receptor 1 (flamingo homolog, Drosophila) (CELSR1), mRNA.
NM_001300.4	1316	KLF6	ILMN_1735014	10	3811452-3811501	Homo sapiens Kruppel-like factor 6 (KLF6), transcript variant 2, mRNA.
NM_147133.1	4799	NFX1	ILMN_1698402	9	33295354-33295403	Homo sapiens nuclear transcription factor, X-box binding 1 (NFX1), transcript variant 2, mRNA.
NM_147133.1	4799	NFX1	ILMN_1795025	9	33308744-33308793	Homo sapiens nuclear transcription factor, X-box binding 1 (NFX1), transcript variant 2, mRNA.
NM_181864.2	11332	ACOT7	ILMN_1719178	1	6445558-6445607	Homo sapiens acyl-CoA thioesterase 7 (ACOT7), transcript variant hBACHb, mRNA.
NM_181864.2	11332	ACOT7	ILMN_1740265	1	6332432-6332481	Homo sapiens acyl-CoA thioesterase 7 (ACOT7), transcript variant hBACHb, mRNA.
NM_014686.3	9710	KIAA0355	ILMN_1659845	19	34846168-34846217	Homo sapiens KIAA0355 (KIAA0355), mRNA.
NM_007316.1	181	AGRP	ILMN_1714253	16	67516569-67516618	Homo sapiens agouti related protein homolog (mouse) (AGRP), transcript variant 2, mRNA.
NR_002745.1	26801	SNORD48	ILMN_2157020	6	31803041-31803090	Homo sapiens small nucleolar RNA, C/D box 48 (SNORD48), small nuclear RNA.
NM_025218.2	80329	ULBP1	ILMN_1738407	6	150294515-150294564	Homo sapiens UL16 binding protein 1 (ULBP1), mRNA.
NM_018107.4	55147	RBM23	ILMN_1780756	14	23370110-23370159	Homo sapiens RNA binding motif protein 23 (RBM23), transcript variant 2, mRNA.
NM_016276.3	10110	SGK2	ILMN_2361920	20	41647221-41647270	Homo sapiens serum/glucocorticoid regulated kinase 2 (SGK2), transcript variant 2, mRNA.
NM_016276.3	10110	SGK2	ILMN_1679233	20	41628463-41628512	Homo sapiens serum/glucocorticoid regulated kinase 2 (SGK2), transcript variant 2, mRNA.
NM_031284.3	83440	ADPGK	ILMN_1793959	15	70831094-70831143	Homo sapiens ADP-dependent glucokinase (ADPGK), mRNA.
NR_002175.2	441543	TTTY6B	ILMN_2177389	Y	22702140-22702189	Homo sapiens testis-specific transcript, Y-linked 6B (non-protein coding) (TTTY6B), non-coding RNA.
NM_030663.2	4184	SMCP	ILMN_1814631	1	151123898-151123947	Homo sapiens sperm mitochondria-associated cysteine-rich protein (SMCP), nuclear gene encoding mitochondrial protein, mRNA.
NM_021111.1	8434	RECK	ILMN_2067269	9	36114327-36114376	Homo sapiens reversion-inducing-cysteine-rich protein with kazal motifs (RECK), mRNA.
NM_033417.1	93323	HAUS8	ILMN_2365528	19	17160909-17160958	Homo sapiens HAUS augmin-like complex, subunit 8 (HAUS8), transcript variant 1, mRNA.
NM_033417.1	93323	HAUS8	ILMN_1768020	19	17160745-17160794	Homo sapiens HAUS augmin-like complex, subunit 8 (HAUS8), transcript variant 1, mRNA.
NM_198427.1	63827	BCAN	ILMN_2246131	1	154889764-154889813	Homo sapiens brevican (BCAN), transcript variant 2, mRNA.
NM_004287.3	9570	GOSR2	ILMN_1656293	17	42367443-42367492	Homo sapiens golgi SNAP receptor complex member 2 (GOSR2), transcript variant A, mRNA.
NM_004287.3	9570	GOSR2	ILMN_1722812	17	42372831-42372880	Homo sapiens golgi SNAP receptor complex member 2 (GOSR2), transcript variant A, mRNA.
NM_014787.2	9829	DNAJC6	ILMN_2166543	1	65653862-65653911	Homo sapiens DnaJ (Hsp40) homolog, subfamily C, member 6 (DNAJC6), mRNA.
NM_145792.1	4257	MGST1	ILMN_2355168	12	16408108-16408157	Homo sapiens microsomal glutathione S-transferase 1 (MGST1), transcript variant 1a, mRNA.
NM_152431.1	143689	PIWIL4	ILMN_2147078	11	93993864-93993913	Homo sapiens piwi-like 4 (Drosophila) (PIWIL4), mRNA.
NM_130759.2	170575	GIMAP1	ILMN_1757186	7	150048984-150049033	Homo sapiens GTPase, IMAP family member 1 (GIMAP1), mRNA.
NM_173178.1	27177	IL1F8	ILMN_1754002	2	113785423-113785472	Homo sapiens interleukin 1 family, member 8 (eta) (IL1F8), transcript variant 2, mRNA.
NM_022658.3	3224	HOXC8	ILMN_1718285	12	52692510-52692559	Homo sapiens homeobox C8 (HOXC8), mRNA.
NM_018124.3	55159	RFWD3	ILMN_1687107	16	74655475-74655524	Homo sapiens ring finger and WD repeat domain 3 (RFWD3), mRNA.
NM_001001391.1	960	CD44	ILMN_1803429	11	35209554-35209603	Homo sapiens CD44 molecule (Indian blood group) (CD44), transcript variant 4, mRNA.
NM_006669.2	10859	LILRB1	ILMN_1708248	19	59840153-59840202	Homo sapiens leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 1 (LILRB1), mRNA.
NM_015235.2	23283	CSTF2T	ILMN_1807515	10	53455426-53455475	Homo sapiens cleavage stimulation factor, 3' pre-RNA, subunit 2, 64kDa, tau variant (CSTF2T), mRNA.
NM_004093.2	1948	EFNB2	ILMN_1703852	13	107142387-107142436	Homo sapiens ephrin-B2 (EFNB2), mRNA.
NM_001025777.1	56886	UGCGL1	ILMN_1661966	2	128565546-128565595	Homo sapiens UDP-glucose ceramide glucosyltransferase-like 1 (UGCGL1), transcript variant 2, mRNA.
NM_001004340.1	2210	FCGR1B	ILMN_2391051	1	120731791-120731816:120737387-120737410	Homo sapiens Fc fragment of IgG, high affinity Ib, receptor (CD64) (FCGR1B), transcript variant 2, mRNA.
NM_000419.2	3674	ITGA2B	ILMN_1721888	17	39807599-39807648	Homo sapiens integrin, alpha 2b (platelet glycoprotein IIb of IIb/IIIa complex, antigen CD41B) (ITGA2B), mRNA.
NM_201631.2	9333	TGM5	ILMN_2345564	15	43527072-43527121	Homo sapiens transglutaminase 5 (TGM5), transcript variant 1, mRNA.
NM_201631.2	9333	TGM5	ILMN_2259966	15	43552253-43552302	Homo sapiens transglutaminase 5 (TGM5), transcript variant 1, mRNA.
NM_170735.4	627	BDNF	ILMN_1712712	11	27637136-27637185	Homo sapiens brain-derived neurotrophic factor (BDNF), transcript variant 1, mRNA.
NM_003628.3	8502	PKP4	ILMN_1749410	2	159246044-159246093	Homo sapiens plakophilin 4 (PKP4), transcript variant 1, mRNA.
NM_003628.3	8502	PKP4	ILMN_1661325	2	159241529-159241578	Homo sapiens plakophilin 4 (PKP4), transcript variant 1, mRNA.
NM_003113.3	6672	SP100	ILMN_1690920	2	231089052-231089101	Homo sapiens SP100 nuclear antigen (SP100), transcript variant 2, mRNA.
NM_001039673.1	90522	YIF1B	ILMN_2363668	19	43487595-43487644	Homo sapiens Yip1 interacting factor homolog B (S. cerevisiae) (YIF1B), transcript variant 4, mRNA.
NM_173550.2	203238	C9orf93	ILMN_1764188	9	15724816-15724865	Homo sapiens chromosome 9 open reading frame 93 (C9orf93), mRNA.
NM_173550.2	203238	C9orf93	ILMN_1655893	9	15543224-15543273	Homo sapiens chromosome 9 open reading frame 93 (C9orf93), mRNA.
NM_014845.4	9896	FIG4	ILMN_1800889	6	110253059-110253108	Homo sapiens FIG4 homolog (S. cerevisiae) (FIG4), mRNA.
NM_053024.2	5217	PFN2	ILMN_1710512	3	151166877-151166926	Homo sapiens profilin 2 (PFN2), transcript variant 1, mRNA.
NM_053024.2	5217	PFN2	ILMN_1775448	3	151165791-151165840	Homo sapiens profilin 2 (PFN2), transcript variant 1, mRNA.
NM_172140.1	282618	IL29	ILMN_2149624	19	39789102-39789151	Homo sapiens interleukin 29 (interferon, lambda 1) (IL29), mRNA.
NM_018221.1	55233	MOBK1B	ILMN_2125562	2	74239744-74239793	Homo sapiens MOB1, Mps One Binder kinase activator-like 1B (yeast) (MOBK1B), mRNA.
NR_002798.1	256236	NAPSB	ILMN_2109416	19	55529076-55529125	Homo sapiens napsin B aspartic peptidase pseudogene (NAPSB), non-coding RNA. XR_001413
NM_004923.3	9633	MTL5	ILMN_1661778	11	68475189-68475238	Homo sapiens metallothionein-like 5, testis-specific (tesmin) (MTL5), transcript variant 1, mRNA.
NM_014481.2	27301	APEX2	ILMN_1652505	X	55034020-55034069	Homo sapiens APEX nuclease (apurinic/apyrimidinic endonuclease) 2 (APEX2), nuclear gene encoding mitochondrial protein, mRNA.
NM_015226.1	23274	CLEC16A	ILMN_1781752	16	11183161-11183210	Homo sapiens C-type lectin domain family 16, member A (CLEC16A), mRNA.
NM_004543.3	4703	NEB	ILMN_1682831	2	152050558-152050607	Homo sapiens nebulin (NEB), mRNA.
NM_199462.1	25778	RIPK5	ILMN_2352023	1	203378372-203378421	Homo sapiens receptor interacting protein kinase 5 (RIPK5), transcript variant 2, mRNA.
NM_000359.2	7051	TGM1	ILMN_1721134	14	24718457-24718506	Homo sapiens transglutaminase 1 (K polypeptide epidermal type I, protein-glutamine-gamma-glutamyltransferase) (TGM1), mRNA.
NM_016008.2	51626	DYNC2LI1	ILMN_1811836	2	43870342-43870364:43875100-43875126	Homo sapiens dynein, cytoplasmic 2, light intermediate chain 1 (DYNC2LI1), transcript variant 1, mRNA.
NM_016008.2	51626	DYNC2LI1	ILMN_1712945	2	43890435-43890484	Homo sapiens dynein, cytoplasmic 2, light intermediate chain 1 (DYNC2LI1), transcript variant 1, mRNA.
NM_025204.2	80305	TRABD	ILMN_1755737	22	48980080-48980129	Homo sapiens TraB domain containing (TRABD), mRNA.
NM_001005222.1	390053	OR52A4	ILMN_1704241	11	5142219-5142268	Homo sapiens olfactory receptor, family 52, subfamily A, member 4 (OR52A4), mRNA.
NM_004375.2	1353	COX11	ILMN_1666280	17	50393495-50393544	Homo sapiens COX11 homolog, cytochrome c oxidase assembly protein (yeast) (COX11), nuclear gene encoding mitochondrial protein, mRNA.
NM_152496.1	149175	MANEAL	ILMN_1674975	1	38039422-38039471	Homo sapiens mannosidase, endo-alpha-like (MANEAL), transcript variant 2, mRNA.
NM_001005613.1	1896	EDA	ILMN_1684000	X	68806803-68806829:68806830-68806852	Homo sapiens ectodysplasin A (EDA), transcript variant 6, mRNA.
NM_181869.1	317	APAF1	ILMN_2344798	12	97652459-97652508	Homo sapiens apoptotic peptidase activating factor 1 (APAF1), transcript variant 5, mRNA.
NM_018683.3	55905	RNF114	ILMN_1792078	20	48003627-48003676	Homo sapiens ring finger protein 114 (RNF114), mRNA.
NM_017654.2	54809	SAMD9	ILMN_1814305	7	92729034-92729083	Homo sapiens sterile alpha motif domain containing 9 (SAMD9), mRNA.
NM_000605.2	3440	IFNA2	ILMN_1698186	9	21374559-21374608	Homo sapiens interferon, alpha 2 (IFNA2), mRNA.
NM_001032998.1	8942	KYNU	ILMN_1737514	2	143459996-143460045	Homo sapiens kynureninase (L-kynurenine hydrolase) (KYNU), transcript variant 2, mRNA.
NM_153050.1	8897	MTMR3	ILMN_2380605	22	28752977-28753026	Homo sapiens myotubularin related protein 3 (MTMR3), transcript variant 1, mRNA.
NM_014495.2	27329	ANGPTL3	ILMN_2143220	1	62843714-62843763	Homo sapiens angiopoietin-like 3 (ANGPTL3), mRNA.
NM_005512.1	2615	LRRC32	ILMN_2129161	11	76046296-76046345	Homo sapiens leucine rich repeat containing 32 (LRRC32), mRNA.
NM_002708.3	5499	PPP1CA	ILMN_2377980	11	67165967-67166005:67166006-67166016	Homo sapiens protein phosphatase 1, catalytic subunit, alpha isoform (PPP1CA), transcript variant 1, mRNA.
XM_940079.1	84617	TUBB6	ILMN_1699489			PREDICTED: Homo sapiens tubulin, beta 6 (TUBB6), mRNA.
NR_002196.1	283120	H19	ILMN_2148527	11	2016662-2016711	Homo sapiens H19, imprinted maternally expressed transcript (non-protein coding) (H19), non-coding RNA.
NM_003546.2	8368	HIST1H4L	ILMN_1782329	6	27949031-27949080	Homo sapiens histone cluster 1, H4l (HIST1H4L), mRNA.
NM_198994.2	343641	TGM6	ILMN_1776214	20	2359591-2359640	Homo sapiens transglutaminase 6 (TGM6), mRNA.
NM_001039459.1	9844	ELMO1	ILMN_2379527	7	36895077-36895126	Homo sapiens engulfment and cell motility 1 (ELMO1), transcript variant 3, mRNA.
NM_138499.3	170394	PWWP2B	ILMN_1764609	10	134081005-134081054	Homo sapiens PWWP domain containing 2B (PWWP2B), transcript variant 1, mRNA.
NM_001753.3	857	CAV1	ILMN_2149226	7	115988052-115988101	Homo sapiens caveolin 1, caveolae protein, 22kDa (CAV1), mRNA.
NM_022451.9	64318	NOC3L	ILMN_2187727	10	96099014-96099063	Homo sapiens nucleolar complex associated 3 homolog (S. cerevisiae) (NOC3L), mRNA.
NM_014885.3	10393	ANAPC10	ILMN_1770378	4	146136158-146136205:146205174-146205175	Homo sapiens anaphase promoting complex subunit 10 (ANAPC10), mRNA.
NM_018061.1	55119	PRPF38B	ILMN_1799299	1	109045398-109045447	Homo sapiens PRP38 pre-mRNA processing factor 38 (yeast) domain containing B (PRPF38B), mRNA.
NM_022047.2	50619	DEF6	ILMN_2145280	6	35397424-35397473	Homo sapiens differentially expressed in FDCP 6 homolog (mouse) (DEF6), mRNA.
NM_014904.1	22841	RAB11FIP2	ILMN_2072541	10	119754684-119754733	Homo sapiens RAB11 family interacting protein 2 (class I) (RAB11FIP2), mRNA.
NM_197956.1	203245	C9orf90	ILMN_1714148	9	129863506-129863555	Homo sapiens chromosome 9 open reading frame 90 (C9orf90), mRNA.
NM_032514.2	84557	MAP1LC3A	ILMN_1772958	20	32610239-32610288	Homo sapiens microtubule-associated protein 1 light chain 3 alpha (MAP1LC3A), transcript variant 1, mRNA.
NM_012239.4	23410	SIRT3	ILMN_1724372	11	226142-226191	Homo sapiens sirtuin (silent mating type information regulation 2 homolog) 3 (S. cerevisiae) (SIRT3), transcript variant 1, mRNA.
NM_033222.2	11168	PSIP1	ILMN_1788701	9	15454347-15454396	Homo sapiens PC4 and SFRS1 interacting protein 1 (PSIP1), transcript variant 2, mRNA.
NM_001075098.1	4337	MOCS1	ILMN_2323801	6	39981285-39981334	Homo sapiens molybdenum cofactor synthesis 1 (MOCS1), transcript variant 4, mRNA.
NM_001075098.1	4337	MOCS1	ILMN_2247988	6	39981074-39981123	Homo sapiens molybdenum cofactor synthesis 1 (MOCS1), transcript variant 4, mRNA.
NM_015299.2	23351	KHNYN	ILMN_1654392	14	23979989-23980038	Homo sapiens KH and NYN domain containing (KHNYN), mRNA.
NM_007052.3	27035	NOX1	ILMN_1778077	X	99985307-99985356	Homo sapiens NADPH oxidase 1 (NOX1), transcript variant NOH-1L, mRNA.
NM_018300.2	55769	ZNF83	ILMN_2190414	19	57808103-57808152	Homo sapiens zinc finger protein 83 (ZNF83), mRNA.
NM_178842.3	204219	LASS3	ILMN_1743142	15	100940674-100940723	Homo sapiens LAG1 homolog, ceramide synthase 3 (LASS3), mRNA.
NM_013351.1	30009	TBX21	ILMN_1692714	17	43178256-43178305	Homo sapiens T-box 21 (TBX21), mRNA.
NM_005086.3	8082	SSPN	ILMN_1775486	12	26276985-26277034	Homo sapiens sarcospan (Kras oncogene-associated gene) (SSPN), mRNA.
NM_003636.2	8514	KCNAB2	ILMN_1725496	1	6082880-6082929	Homo sapiens potassium voltage-gated channel, shaker-related subfamily, beta member 2 (KCNAB2), transcript variant 1, mRNA.
NM_003636.2	8514	KCNAB2	ILMN_2342762	1	6082532-6082581	Homo sapiens potassium voltage-gated channel, shaker-related subfamily, beta member 2 (KCNAB2), transcript variant 1, mRNA.
NM_017680.3	54829	ASPN	ILMN_2168166	9	95218621-95218670	Homo sapiens asporin (ASPN), mRNA.
NM_001007097.1	4915	NTRK2	ILMN_1714067	9	86619976-86620025	Homo sapiens neurotrophic tyrosine kinase, receptor, type 2 (NTRK2), transcript variant b, mRNA.
NM_017635.3	51111	SUV420H1	ILMN_1669598	11	67934587-67934636	Homo sapiens suppressor of variegation 4-20 homolog 1 (Drosophila) (SUV420H1), transcript variant 1, mRNA.
NM_017635.3	51111	SUV420H1	ILMN_1692107	11	67923689-67923738	Homo sapiens suppressor of variegation 4-20 homolog 1 (Drosophila) (SUV420H1), transcript variant 1, mRNA.
NM_182490.1	7770	ZNF227	ILMN_1721034	19	44741040-44741089	Homo sapiens zinc finger protein 227 (ZNF227), mRNA.
NM_000559.2	3047	HBG1	ILMN_1796678	11	5269620-5269669	Homo sapiens hemoglobin, gamma A (HBG1), mRNA.
NM_001004124.1	81300	OR4P4	ILMN_1804845	11	55163073-55163122	Homo sapiens olfactory receptor, family 4, subfamily P, member 4 (OR4P4), mRNA.
NM_024322.1	79172	CENPO	ILMN_2219351	2	24896087-24896136	Homo sapiens centromere protein O (CENPO), mRNA.
NM_198481.3	284415	VSTM1	ILMN_1763455	19	59236109-59236146:59236845-59236856	Homo sapiens V-set and transmembrane domain containing 1 (VSTM1), mRNA.
NM_024895.3	79955	PDZD7	ILMN_1712660	10	102778823-102778872	Homo sapiens PDZ domain containing 7 (PDZD7), mRNA.
NM_002261.2	3823	KLRC3	ILMN_1691287	12	10464458-10464461:10564914-10564959	Homo sapiens killer cell lectin-like receptor subfamily C, member 3 (KLRC3), transcript variant 1, mRNA.
NM_002261.2	3823	KLRC3	ILMN_2386790	12	10570966-10571015	Homo sapiens killer cell lectin-like receptor subfamily C, member 3 (KLRC3), transcript variant 1, mRNA.
NM_144597.1	123207	C15orf40	ILMN_1660585	15	81464710-81464759	Homo sapiens chromosome 15 open reading frame 40 (C15orf40), mRNA.
NM_001080827.1	221017	C10orf37	ILMN_2202806			Homo sapiens chromosome 10 open reading frame 37 (C10orf37), mRNA.
NM_003604.1	8471	IRS4	ILMN_1712774	X	107862611-107862660	Homo sapiens insulin receptor substrate 4 (IRS4), mRNA.
NM_001005910.1	51447	IP6K2	ILMN_1683328	3	48731672-48731673:48732523-48732570	Homo sapiens inositol hexakisphosphate kinase 2 (IP6K2), transcript variant 3, mRNA.
NM_153244.1	221060	C10orf111	ILMN_1652715	10	15177695-15177744	Homo sapiens chromosome 10 open reading frame 111 (C10orf111), mRNA.
NM_014374.1	29803	REPIN1	ILMN_2404385	7	149701858-149701907	Homo sapiens replication initiator 1 (REPIN1), transcript variant 2, mRNA.
NM_181775.2	91584	PLXNA4B	ILMN_1749343	7	131824684-131824733	Homo sapiens plexin A4, B (PLXNA4B), mRNA.
NM_148894.1	259282	FAM44A	ILMN_1695856	4	13215415-13215464	Homo sapiens family with sequence similarity 44, member A (FAM44A), mRNA.
NM_001040450.1	54629	FAM63B	ILMN_1774259	15	56931376-56931425	Homo sapiens family with sequence similarity 63, member B (FAM63B), transcript variant 1, mRNA.
NM_006314.1	10256	CNKSR1	ILMN_1718813	1	26388798-26388847	Homo sapiens connector enhancer of kinase suppressor of Ras 1 (CNKSR1), mRNA.
NM_001002916.2	158983	H2BFWT	ILMN_1660283	X	103265947-103265996	Homo sapiens H2B histone family, member W, testis-specific (H2BFWT), mRNA.
NM_013440.3	29990	PILRB	ILMN_1807712	7	99311577-99311626	Homo sapiens paired immunoglobin-like type 2 receptor beta (PILRB), transcript variant 1, mRNA.
NM_002536.2	4943	TBC1D25	ILMN_1768491	X	48288278-48288327	Homo sapiens TBC1 domain family, member 25 (TBC1D25), mRNA.
NM_002536.2	4943	TBC1D25	ILMN_1681855	X	48304316-48304365	Homo sapiens TBC1 domain family, member 25 (TBC1D25), mRNA.
NM_005825.2	10235	RASGRP2	ILMN_2276397	11	64268067-64268116	Homo sapiens RAS guanyl releasing protein 2 (calcium and DAG-regulated) (RASGRP2), transcript variant 1, mRNA.
NM_005825.2	10235	RASGRP2	ILMN_2375319	11	64251114-64251163	Homo sapiens RAS guanyl releasing protein 2 (calcium and DAG-regulated) (RASGRP2), transcript variant 1, mRNA.
NM_000190.3	3145	HMBS	ILMN_1685954	11	118460936-118460953:118460954-118460985	Homo sapiens hydroxymethylbilane synthase (HMBS), transcript variant 1, mRNA.
NM_000190.3	3145	HMBS	ILMN_1726306	11	118469305-118469354	Homo sapiens hydroxymethylbilane synthase (HMBS), transcript variant 1, mRNA.
NM_000456.2	6821	SUOX	ILMN_1803745	12	54685480-54685529	Homo sapiens sulfite oxidase (SUOX), nuclear gene encoding mitochondrial protein, transcript variant 1, mRNA.
NM_000456.2	6821	SUOX	ILMN_1710682	12	54679389-54679438	Homo sapiens sulfite oxidase (SUOX), nuclear gene encoding mitochondrial protein, transcript variant 1, mRNA.
NM_198925.1	10509	SEMA4B	ILMN_1672589	15	88573628-88573677	Homo sapiens sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4B (SEMA4B), transcript variant 2, mRNA.
NM_006088.5	10383	TUBB2C	ILMN_1780769	9	139257564-139257613	Homo sapiens tubulin, beta 2C (TUBB2C), mRNA.
NM_030794.1	81550	TDRD3	ILMN_1745811	13	60039661-60039710	Homo sapiens tudor domain containing 3 (TDRD3), mRNA.
NM_212474.1	2335	FN1	ILMN_2366463	2	216284087-216284108:216285396-216285423	Homo sapiens fibronectin 1 (FN1), transcript variant 6, mRNA.
NM_022787.2	64802	NMNAT1	ILMN_1692413	1	9965179-9965228	Homo sapiens nicotinamide nucleotide adenylyltransferase 1 (NMNAT1), mRNA.
NM_001003677.1	79096	C11orf49	ILMN_2341487	11	47115782-47115831	Homo sapiens chromosome 11 open reading frame 49 (C11orf49), transcript variant 2, mRNA.
NM_198334.1	23193	GANAB	ILMN_1739441	11	62392434-62392483	Homo sapiens glucosidase, alpha; neutral AB (GANAB), transcript variant 2, mRNA.
NM_020961.2	57721	METTL14	ILMN_2124523	4	119631396-119631445	Homo sapiens methyltransferase like 14 (METTL14), mRNA.
NM_003890.1	8857	FCGBP	ILMN_2302757	19	45045844-45045893	Homo sapiens Fc fragment of IgG binding protein (FCGBP), mRNA.
NM_024329.4	79180	EFHD2	ILMN_1761463	1	15629208-15629257	Homo sapiens EF-hand domain family, member D2 (EFHD2), mRNA.
NM_018064.2	55122	AKIRIN2	ILMN_2148847	6	88441872-88441921	Homo sapiens akirin 2 (AKIRIN2), mRNA.
NM_031886.2	3743	KCNA7	ILMN_1715088	19	54262641-54262690	Homo sapiens potassium voltage-gated channel, shaker-related subfamily, member 7 (KCNA7), mRNA.
NM_032227.2	84187	TMEM164	ILMN_2208373	X	109303230-109303279	Homo sapiens transmembrane protein 164 (TMEM164), mRNA.
NM_145030.1	221908	C7orf47	ILMN_1741475	7	99870986-99871035	Homo sapiens chromosome 7 open reading frame 47 (C7orf47), mRNA.
NM_080751.2	117532	TMC2	ILMN_1710269	20	2559848-2559873:2560596-2560619	Homo sapiens transmembrane channel-like 2 (TMC2), mRNA.
NM_006988.3	9510	ADAMTS1	ILMN_1673566	21	28208968-28209017	Homo sapiens ADAM metallopeptidase with thrombospondin type 1 motif, 1 (ADAMTS1), mRNA.
NM_006043.1	9956	HS3ST2	ILMN_1712475	16	22834332-22834381	Homo sapiens heparan sulfate (glucosamine) 3-O-sulfotransferase 2 (HS3ST2), mRNA.
NM_138800.1	129868	TRIM43	ILMN_1784230	2	95624573-95624620:95625677-95625678	Homo sapiens tripartite motif-containing 43 (TRIM43), mRNA.
NM_021229.3	59277	NTN4	ILMN_2113490	12	96052096-96052145	Homo sapiens netrin 4 (NTN4), mRNA.
NM_001568.2	3646	EIF3E	ILMN_1739257	8	109283290-109283328:109284388-109284398	Homo sapiens eukaryotic translation initiation factor 3, subunit E (EIF3E), mRNA.
NM_018037.1	55103	RALGPS2	ILMN_1654692	1	177115162-177115211	Homo sapiens Ral GEF with PH domain and SH3 binding motif 2 (RALGPS2), transcript variant 1, mRNA.
NM_005259.2	2660	MSTN	ILMN_1780516	2	190921381-190921430	Homo sapiens myostatin (MSTN), mRNA.
NM_182666.1	7324	UBE2E1	ILMN_1806778	3	23907374-23907423	Homo sapiens ubiquitin-conjugating enzyme E2E 1 (UBC4/5 homolog, yeast) (UBE2E1), transcript variant 2, mRNA.
NM_017866.4	54968	TMEM70	ILMN_1739032	8	74894938-74894987	Homo sapiens transmembrane protein 70 (TMEM70), transcript variant 1, mRNA.
NM_017866.4	54968	TMEM70	ILMN_2373010	8	74894558-74894607	Homo sapiens transmembrane protein 70 (TMEM70), transcript variant 1, mRNA.
NM_139027.2	11093	ADAMTS13	ILMN_1787386	9	135304803-135304852	Homo sapiens ADAM metallopeptidase with thrombospondin type 1 motif, 13 (ADAMTS13), transcript variant 2, mRNA.
NM_139027.2	11093	ADAMTS13	ILMN_2413732	9	135314240-135314289	Homo sapiens ADAM metallopeptidase with thrombospondin type 1 motif, 13 (ADAMTS13), transcript variant 2, mRNA.
NM_004852.2	9480	ONECUT2	ILMN_1664462	18	53294855-53294904	Homo sapiens one cut homeobox 2 (ONECUT2), mRNA.
NM_002867.2	5865	RAB3B	ILMN_1722845	1	52385108-52385157	Homo sapiens RAB3B, member RAS oncogene family (RAB3B), mRNA.
NM_173631.2	284306	ZNF547	ILMN_1739814	19	57890550-57890599	Homo sapiens zinc finger protein 547 (ZNF547), mRNA.
NM_018198.2	55735	DNAJC11	ILMN_1747903	1	6619894-6619943	Homo sapiens DnaJ (Hsp40) homolog, subfamily C, member 11 (DNAJC11), mRNA.
NM_001037735.1	57232	ZNF630	ILMN_2172124	X	47802863-47802912	Homo sapiens zinc finger protein 630 (ZNF630), mRNA.
NM_001024943.1	435	ASL	ILMN_2379393	7	64895556-64895605	Homo sapiens argininosuccinate lyase (ASL), transcript variant 1, mRNA.
