GenomicLocus	IndSigSNP	chr	bp	snp	DateAddedToCatalog	PMID	FirstAuth	Date	Journal	Link	Study	Trait	InitialN	ReplicationN	Region	ReportedGene	MappedGene	UpGene	DownGene	SNP_Gene_ID	UpGeneDist	DownGeneDist	Strongest	SNPs	marged	SNP_ID_cur	Context	intergenic	RiskAF	P	Pmlog	Ptext	OrBeta	95CI	Platform	CNV
8	rs67472071	11	47650993	rs3817334	2017-08-18	28448500	Graff M	2017-04-27	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/28448500	Genome-wide physical activity interactions in adiposity - A meta-analysis of 200,452 adults.	Body mass index in physically active individuals	1,957 African American women, 1,773 Filipino ancestry women, 305 Indian ancestry women, 67,609 European ancestry women, 1,206 African American men, 2,029 Indian ancestry men, 43,399 European ancestry men, at least 4,819 European ancestry individuals	4,807 African American women, 12,347 European ancestry women, 265 African American men, 14,540 European ancestry men	11p11.2	MTCH2	MTCH2			23788			rs3817334-T	rs3817334	0	3817334	intron_variant	0	0.4106	7E-9	8.154901959985743	(EA)	0.0243	[0.016-0.033] kg/m2 increase	Affymetrix, Illumina, Perlegen [~ 2500000] (imputed)	N
8	rs67472071	11	47650993	rs3817334	2017-10-27	28892062	Akiyama M	2017-09-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/28892062	Genome-wide association study identifies 112 new loci for body mass index in the Japanese population.	Body mass index	up to 72,390 Japanese ancestry women, up to 85,894 Japanese ancestry men	up to 10,048 Japanese ancestry women, up to 5,098 Japanese ancestry men, up to 181,999 European ancestry women, up to 140,155 European ancestry controls	11p11.2	MTCH2	MTCH2			23788			rs3817334-T	rs3817334	0	3817334	intron_variant	0	0.42	1E-24	24.0		0.025	[0.021-0.029] kg/m2 increase	Illumina [6108953] (imputed)	N
8	rs67472071	11	47650993	rs3817334	2018-07-24	26426971	Winkler TW	2015-10-01	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/26426971	The Influence of Age and Sex on Genetic Associations with Adult Body Size and Shape: A Large-Scale Genome-Wide Interaction Study.	Body mass index	up to 309,889 European ancestry individuals	NA	11p11.2	NR	MTCH2			23788			rs3817334-T	rs3817334	0	3817334	intron_variant	0	0.407932176463293	1E-18	18.0		0.024106821	unit increase	Affymetrix, Illumina, Perlegen [up to 2800000] (imputed)	N
8	rs67472071	11	47650993	rs3817334	2018-09-17	29844566	Davies G	2018-05-29	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/29844566	Study of 300,486 individuals identifies 148 independent genetic loci influencing general cognitive function.	General cognitive ability	up to 300,486 European ancestry individuals	NA	11p11.2	MTCH2	MTCH2			23788			rs3817334-T	rs3817334	0	3817334	intron_variant	0	NR	9E-10	9.045757490560675		6.132	z-score decrease	Affymetrix, Illumina [at least 2500000] (imputed)	N
8	rs67472071	11	47650993	rs3817334	2018-09-28	30108127	Hoffmann TJ	2018-08-14	Genetics	www.ncbi.nlm.nih.gov/pubmed/30108127	A Large Multi-ethnic Genome-Wide Association Study of Adult Body Mass Index Identifies Novel Loci.	Body mass index	315,347 European ancestry individuals, 8,322 Hispanic/Latino individuals, 7,290 East Asian ancestry individuals, 3,069 African American individuals, 459 South Asian ancestry individuals	431,743 European ancestry individuals, 9,275 South Asian ancestry individuals, 8,261 African British individuals, 1,822 East Asian ancestry individuals, 7,620 individuals	11p11.2	NR	MTCH2			23788			rs3817334-C	rs3817334	0	3817334	intron_variant	0	NR	6E-20	19.221848749616356		0.023	[NR] unit decrease	Affymetrix [at least 28613428] (imputed)	N
8	rs67472071	11	47650993	rs3817334	2018-12-17	26961502	Wood AR	2016-03-10	Diabetologia	www.ncbi.nlm.nih.gov/pubmed/26961502	Variants in the FTO and CDKAL1 loci have recessive effects on risk of obesity and type 2 diabetes, respectively.	Body mass index	29,925 British ancestry cases, 89,763 British ancestry controls	NA	11p11.2	MTCH2	MTCH2			23788			rs3817334-T	rs3817334	0	3817334	intron_variant	0	NR	2E-13	12.698970004336019	(additive model)	0.031	[0.023-0.039] unit increase	NR [9288881] (imputed)	N
8	rs67472071	11	47663049	rs10838738	2009-01-12	19079261	Willer CJ	2008-12-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/19079261	Six new loci associated with body mass index highlight a neuronal influence on body weight regulation.	Body mass index	32,387 European ancestry individuals	59,082 European ancestry individuals	11p11.2	MTCH2	MTCH2			23788			rs10838738-G	rs10838738	0	10838738	intron_variant	0	0.34	5E-9	8.301029995663981		0.07	[0.01-0.13] kg/m2 increase	Affymetrix, Illumina [2399588] (imputed)	N
8	rs67472071	11	47761471	rs11602339	2017-10-27	28892062	Akiyama M	2017-09-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/28892062	Genome-wide association study identifies 112 new loci for body mass index in the Japanese population.	Body mass index	up to 72,390 Japanese ancestry women, up to 85,894 Japanese ancestry men	up to 10,048 Japanese ancestry women, up to 5,098 Japanese ancestry men, up to 181,999 European ancestry women, up to 140,155 European ancestry controls	11p11.2	FNBP4	FNBP4			23360			rs11602339-T	rs11602339	0	11602339	intron_variant	0	0.313	1E-9	9.0	(Japanese)	0.023	[0.015-0.031] kg/m2 increase	Illumina [6108953] (imputed)	N
8	rs67472071	11	47769564	rs34923397	2018-09-17	29844566	Davies G	2018-05-29	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/29844566	Study of 300,486 individuals identifies 148 independent genetic loci influencing general cognitive function.	General cognitive ability	up to 300,486 European ancestry individuals	NA	11p11.2	NR	FNBP4			23360			rs34923397-?	rs34923397	0	34923397	intron_variant	0	NR	5E-8	7.301029995663981		5.449	z-score decrease	Affymetrix, Illumina [at least 2500000] (imputed)	N
8	rs67472071	11	47781306	rs7927771	2017-03-17	27089181	Okbay A	2016-04-18	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/27089181	Genetic variants associated with subjective well-being, depressive symptoms, and neuroticism identified through genome-wide analyses.	Subjective well-being	298,420 Korculan (founder/genetic isolate), Split (founder/genetic isolate), Vis (founder/genetic isolate), Erasmus Rucphen (founder/genetic isolate) and other European ancestry individuals	NA	11p11.2	NR	FNBP4			23360			rs7927771-A	rs7927771	0	7927771	intron_variant	0	0.6579	4E-6	5.3979400086720375		0.0129	[0.0074-0.0184] unit decrease	Affymetrix, Illumina, Perlegen [at least 5170349] (imputed)	N
8	rs67472071	11	47796062	rs11039389	2018-02-01	29255261	Luciano M	2017-12-18	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/29255261	Association analysis in over 329,000 individuals identifies 116 independent variants influencing neuroticism.	Neuroticism	329,821 European ancestry individuals	122,867 European ancestry individuals	11p11.2	intergenic	FNBP4 - NUP160	23360	23279		7032	3573	rs11039389-T	rs11039389	0	11039389	intergenic_variant	1	0.65857	1E-11	11.0		6.781	z score increase	Illumina [18485882] (imputed)	N
8	rs67472071	11	47796062	rs11039389	2018-10-31	29942085	Nagel M	2018-06-25	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/29942085	Meta-analysis of genome-wide association studies for neuroticism in 449,484 individuals identifies novel genetic loci and pathways.	Neuroticism	449,484 European ancestry individuals	NA	11p11.2	NR	FNBP4 - NUP160	23360	23279		7032	3573	rs11039389-T	rs11039389	0	11039389	intergenic_variant	1	NR	7E-11	10.154901959985743		6.519	z score increase	Affymetrix [10847151] (imputed)	N
8	rs67472071	11	47871368	rs113945456	2018-09-17	29844566	Davies G	2018-05-29	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/29844566	Study of 300,486 individuals identifies 148 independent genetic loci influencing general cognitive function.	General cognitive ability	up to 300,486 European ancestry individuals	NA	11p11.2	NR	NUP160 - LOC100287189	23279	100287189		1272	55312	rs113945456-?	rs113945456	0	113945456	intergenic_variant	1	NR	1E-7	7.0		5.256	z-score decrease	Affymetrix, Illumina [at least 2500000] (imputed)	N
8	rs67472071	11	47915299	rs34467936	2018-10-31	29942085	Nagel M	2018-06-25	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/29942085	Meta-analysis of genome-wide association studies for neuroticism in 449,484 individuals identifies novel genetic loci and pathways.	Depressed affect	357,957 European ancestry individuals	NA	11p11.2	NR	NUP160 - LOC100287189	23279	100287189		45203	11381	rs34467936G	rs34467936	0	34467936	intergenic_variant	1	NR	4E-11	10.397940008672037		0.01605	[0.011-0.021] unit decrease	Affymetrix [10847151] (imputed)	N
8	rs67472071	11	47932666	rs12802244	2018-02-01	29255261	Luciano M	2017-12-18	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/29255261	Association analysis in over 329,000 individuals identifies 116 independent variants influencing neuroticism.	Neuroticism	329,821 European ancestry individuals	122,867 European ancestry individuals	11p11.2	intergenic	LOC100287189 - PTPRJ	100287189	5795		5431	69390	rs12802244-A	rs12802244	0	12802244	intergenic_variant	1	0.36027	2E-11	10.698970004336019		6.708	z score decrease	Illumina [18485882] (imputed)	N
9	chr11:59854269:D	11	59838621	rs474951	2014-12-02	24755620	Perez-Palma E	2014-04-22	PLoS One	www.ncbi.nlm.nih.gov/pubmed/24755620	Overrepresentation of glutamate signaling in Alzheimer's disease: network-based pathway enrichment using meta-analysis of genome-wide association studies.	Alzheimer's disease	2,540 European ancestry cases, 2,029 European ancestry controls	NA	11q12.1	MS4A3	MS4A3 - YWHAZP9	932	441609		32	6080	rs474951-T	rs474951	0	474951	intergenic_variant	1		1E-6	6.0		1.2658	[NR]	Affymetrix, Illumina [1216213] (imputed)	N
9	chr11:59854269:D	11	59844242	rs501945	2018-07-20	29777097	Marioni RE	2018-05-18	Transl Psychiatry	www.ncbi.nlm.nih.gov/pubmed/29777097	GWAS on family history of Alzheimer's disease.	Alzheimer's disease or family history of Alzheimer's disease	up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls	NA	11q12.1	NR	MS4A3 - YWHAZP9	932	441609		5653	459	rs501945-?	rs501945	0	501945	intergenic_variant	1	NR	5E-8	7.301029995663981				Affymetrix [7795605] (imputed)	N
9	chr11:59932024:I	11	59869119	rs580064	2018-07-20	29777097	Marioni RE	2018-05-18	Transl Psychiatry	www.ncbi.nlm.nih.gov/pubmed/29777097	GWAS on family history of Alzheimer's disease.	Alzheimer's disease or family history of Alzheimer's disease	up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls	NA	11q12.2	NR	MS4A2 - LOC105369319	2206	105369319		3179	57595	rs580064-?	rs580064	0	580064	intergenic_variant	1	NR	5E-8	7.301029995663981				Affymetrix [7795605] (imputed)	N
9	rs657928	11	59908627	rs1786140	2018-07-20	29777097	Marioni RE	2018-05-18	Transl Psychiatry	www.ncbi.nlm.nih.gov/pubmed/29777097	GWAS on family history of Alzheimer's disease.	Alzheimer's disease or family history of Alzheimer's disease	up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls	NA	11q12.2	NR	MS4A2 - LOC105369319	2206	105369319		42687	18087	rs1786140-?	rs1786140	0	1786140	intergenic_variant	1	NR	5E-8	7.301029995663981				Affymetrix [7795605] (imputed)	N
9	chr11:59932024:I	11	59923508	rs983392	2014-04-16	24162737	Lambert JC	2013-10-27	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/24162737	Meta-analysis of 74,046 individuals identifies 11 new susceptibility loci for Alzheimer's disease.	Alzheimer's disease (late onset)	17,008 European ancestry cases, 37,154 European ancestry controls	8,572 European ancestry cases, 11,312 European ancestry controls	11q12.2	MS4A6A	MS4A2 - LOC105369319	2206	105369319		57568	3206	rs983392-A	rs983392	0	983392	regulatory_region_variant	1	0.597	6E-16	15.221848749616356		1.1111	[1.09-1.15]	Illumina [7055881] (imputed)	N
9	chr11:59932024:I	11	59928672	rs11605427	2018-07-20	29777097	Marioni RE	2018-05-18	Transl Psychiatry	www.ncbi.nlm.nih.gov/pubmed/29777097	GWAS on family history of Alzheimer's disease.	Alzheimer's disease or family history of Alzheimer's disease	up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls	NA	11q12.2	NR	LOC105369319			105369319			rs11605427-?	rs11605427	0	11605427	regulatory_region_variant	0	NR	8E-17	16.096910013008056				Affymetrix [7795605] (imputed)	N
9	chr11:59932024:I	11	59928672	rs11605427	2018-07-20	29777097	Marioni RE	2018-05-18	Transl Psychiatry	www.ncbi.nlm.nih.gov/pubmed/29777097	GWAS on family history of Alzheimer's disease.	Family history of Alzheimer's disease	up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 European ancestry individuals with no parental history of Alzheimer's disease	NA	11q12.2	NR	LOC105369319			105369319			rs11605427-?	rs11605427	0	11605427	regulatory_region_variant	0	NR	6E-6	5.221848749616356				Affymetrix [7795605] (imputed)	N
9	chr11:59932024:I	11	59939307	rs610932	2011-05-02	21460840	Hollingworth P	2011-04-03	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21460840	Common variants at ABCA7, MS4A6A/MS4A4E, EPHA1, CD33 and CD2AP are associated with Alzheimer's disease.	Alzheimer's disease	6,688 European ancestry cases, 13,685 European ancestry controls	13,182 European ancestry cases, 26,161 European ancestry controls	11q12.2	MS4A4E, MS4A6A	MS4A6A			64231			rs610932-?	rs610932	0	610932	intergenic_variant	0	0.58	2E-14	13.698970004336019		1.11	[1.09-1.15]	Affymetrix, Illumina [496763]	N
9	chr11:59932024:I	11	59940599	rs1019670	2014-03-14	23969696	Sabater-Lleal M	2013-08-22	Circulation	www.ncbi.nlm.nih.gov/pubmed/23969696	Multiethnic meta-analysis of genome-wide association studies in >100 000 subjects identifies 23 fibrinogen-associated Loci but no strong evidence of a causal association between circulating fibrinogen and cardiovascular disease.	Fibrinogen	91,323 European ancestry individuals	8,423 African American individuals, 1,447 Hispanic individuals	11q12.2	MS4A6A	MS4A6A			64231			rs1019670-A	rs1019670	1	7232	missense_variant	0	0.36	4E-9	8.397940008672037	(EA)	0.007	[0.005-0.009] unit decrease	Affymetrix, Illumina [2515567] (imputed)	N
9	chr11:59932024:I	11	59940599	rs7232	2018-04-30	28714976	Sims R	2017-09-01	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/28714976	Rare coding variants in PLCG2, ABI3, and TREM2 implicate microglial-mediated innate immunity in Alzheimer's disease.	Alzheimer's disease (late onset)	up to 16,097 European ancestry cases, up to 18,077 European ancestry controls	up to 20,693 European ancestry cases, up to 30,266 European ancestry controls	11q12.2	MS4A6A	MS4A6A			64231			rs7232-?	rs7232	0	7232	missense_variant	0	NR	6E-7	6.221848749616356		1.0942651		Illumina [241551]	N
9	chr11:59932024:I	11	59942815	rs7935829	2017-06-01	28107422	de Vries PS	2017-01-20	PLoS One	www.ncbi.nlm.nih.gov/pubmed/28107422	Comparison of HapMap and 1000 Genomes Reference Panels in a Large-Scale Genome-Wide Association Study.	Fibrinogen levels	91,953 European ancestry individuals (imputed to HapMap)		11q12.2	MS4A6A	MS4A6A			64231			rs7935829-?	rs7935829	0	7935829	intron_variant	0	NR	6E-8	7.221848749616356		0.0056	unit increase	Affymetrix, Illumina [2749429] (imputed)	N
9	chr11:59932024:I	11	59948374	rs17602572	2018-09-20	28869591	Kemp JP	2017-09-04	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/28869591	Identification of 153 new loci associated with heel bone mineral density and functional involvement of GPC6 in osteoporosis.	Heel bone mineral density	76,067 European ancestry women, 66,420 European ancestry men	NA	11q12.2	MS4A6A	MS4A6A			64231			rs17602572-C	rs17602572	0	17602572	non_coding_transcript_exon_variant	0	0.599122	5E-7	6.301029995663981	(women)	0.0231276	[0.014-0.032] unit increase	NR [17166351] (imputed)	N
9	chr11:59932024:I	11	59948374	rs17602572	2018-09-20	28869591	Kemp JP	2017-09-04	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/28869591	Identification of 153 new loci associated with heel bone mineral density and functional involvement of GPC6 in osteoporosis.	Heel bone mineral density	76,067 European ancestry women, 66,420 European ancestry men	NA	11q12.2	MS4A6A	MS4A6A			64231			rs17602572-C	rs17602572	0	17602572	non_coding_transcript_exon_variant	0	0.599513	1E-19	19.0		0.0304395	[0.024-0.037] unit increase	NR [17166351] (imputed)	N
9	chr11:59932024:I	11	59948374	rs17602572	2018-09-20	28869591	Kemp JP	2017-09-04	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/28869591	Identification of 153 new loci associated with heel bone mineral density and functional involvement of GPC6 in osteoporosis.	Heel bone mineral density	76,067 European ancestry women, 66,420 European ancestry men	NA	11q12.2	MS4A6A	MS4A6A			64231			rs17602572-C	rs17602572	0	17602572	non_coding_transcript_exon_variant	0	0.599961	4E-13	12.397940008672037	(men)	0.0367624	[0.027-0.047] unit increase	NR [17166351] (imputed)	N
9	chr11:59932024:I	11	59948374	rs17602572	2018-10-18	30048462	Kim SK	2018-07-26	PLoS One	www.ncbi.nlm.nih.gov/pubmed/30048462	Identification of 613 new loci associated with heel bone mineral density and a polygenic risk score for bone mineral density, osteoporosis and fracture.	Heel bone mineral density	394,929 European ancestry individuals	NA	11q12.2		MS4A6A			64231			rs17602572-?	rs17602572	0	17602572	non_coding_transcript_exon_variant	0	NR	1E-43	43.0		0.028065	[0.024-0.032] unit increase	Affymetrix [20259828] (imputed)	N
9	rs657928	11	59970984	rs666555	2018-10-18	30048462	Kim SK	2018-07-26	PLoS One	www.ncbi.nlm.nih.gov/pubmed/30048462	Identification of 613 new loci associated with heel bone mineral density and a polygenic risk score for bone mineral density, osteoporosis and fracture.	Heel bone mineral density	394,929 European ancestry individuals	NA	11q12.2		MS4A4E			643680			rs666555-?	rs666555	0	666555	intron_variant	0	NR	2E-30	29.69897000433602		0.0237081	[0.02-0.028] unit decrease	Affymetrix [20259828] (imputed)	N
9	rs1582763	11	59996994	rs11230201	2016-10-05	26561523	de Vries PS	2015-11-10	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/26561523	A meta-analysis of 120 246 individuals identifies 18 new loci for fibrinogen concentration.	Fibrinogen levels	120,246 European ancestry individuals	NA	11q12.2	MS4A6A	MS4A4E			643680			rs11230201-G	rs11230201	0	11230201	intron_variant	0	0.41	5E-10	9.301029995663981		0.0057	NR unit decrease	Affymetrix, Illumina [~ 10700000] (imputed)	N
9	rs1582763	11	59996994	rs11230201	2017-06-01	28107422	de Vries PS	2017-01-20	PLoS One	www.ncbi.nlm.nih.gov/pubmed/28107422	Comparison of HapMap and 1000 Genomes Reference Panels in a Large-Scale Genome-Wide Association Study.	Fibrinogen levels	91,953 European ancestry individuals (imputed to 1000 Genomes)		11q12.2	MS4A6A, MS4A4A	MS4A4E			643680			rs11230201-?	rs11230201	0	11230201	intron_variant	0	NR	3E-9	8.522878745280337		0.006	unit increase	Affymetrix, Illumina [10883314] (imputed)	N
9	rs657928	11	59997666	rs600550	2013-01-30	23118302	Chu AY	2012-11-01	Circ Cardiovasc Genet	www.ncbi.nlm.nih.gov/pubmed/23118302	Genome-wide association study evaluating lipoprotein-associated phospholipase A2 mass and activity at baseline and after rosuvastatin therapy.	Lipoprotein-associated phospholipase A2 activity and mass	6,851 European ancestry individuals	13,664 European ancestry individuals	11q12.2	MS4A4E	MS4A4E			643680			rs600550-T	rs600550	0	600550	intron_variant	0	0.38	2E-11	10.698970004336019	(activity)	0.0137	[0.0068-0.0206] ng/ml decrease	Illumina [796174]	N
9	rs1582763	11	60021948	rs1582763	2016-02-03	25778476	Jun G	2015-03-17	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/25778476	A novel Alzheimer disease locus located near the gene encoding tau protein.	Alzheimer's disease in APOE e4- carriers	7,184 cases, 26,968 controls	718 European ancestry cases, 1,699 European ancestry controls	11q12.2	MS4, MS4A6A, MS4A4A, MS4A6E	MS4A4E - MS4A4A	643680	51338		11351	26066	rs1582763-G	rs1582763	0	1582763	regulatory_region_variant	1	0.63	2E-9	8.698970004336019		1.1494253	[1.1-1.2]	NR [NR]	N
9	rs1582763	11	60023087	rs1562990	2011-06-23	21627779	Antunez C	2011-05-31	Genome Med	www.ncbi.nlm.nih.gov/pubmed/21627779	The membrane-spanning 4-domains, subfamily A (MS4A) gene cluster contains a common variant associated with Alzheimer's disease.	Alzheimer's disease	319 European ancestry cases, 769 European ancestry controls, 2,690 cases, 2,237 controls	4,982 European ancestry cases, 7,961 European ancestry controls, 2,190 cases, 3,374 controls	11q12.2	MS4A	MS4A4E - MS4A4A	643680	51338		12490	24927	rs1562990-?	rs1562990	0	1562990	intergenic_variant	1	0.58	4E-11	10.397940008672037		1.14	[1.10-1.18]	Affymetrix, Illumina [696707] (imputed)	N
9	rs1582763	11	60034429	rs4938933	2011-05-24	21460841	Naj AC	2011-04-03	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21460841	Common variants at MS4A4/MS4A6E, CD2AP, CD33 and EPHA1 are associated with late-onset Alzheimer's disease.	Alzheimer's disease (late onset)	8,309 European ancestry cases, 7,366 European ancestry controls	10,523 European ancestry cases, 28,231 European ancestry controls	11q12.2	MS4A4A	MS4A4E - MS4A4A	643680	51338		23832	13585	rs4938933-?	rs4938933	0	4938933	intergenic_variant	1	0.61	8E-12	11.096910013008056		1.12	[1.09-1.15]	Affymetrix, Illumina [2324889] (imputed)	N
9	rs72924659	11	60079651	rs10792263	2018-10-18	30048462	Kim SK	2018-07-26	PLoS One	www.ncbi.nlm.nih.gov/pubmed/30048462	Identification of 613 new loci associated with heel bone mineral density and a polygenic risk score for bone mineral density, osteoporosis and fracture.	Heel bone mineral density	394,929 European ancestry individuals	NA	11q12.2		MS4A4A - MS4A6E	51338	245802		3206	22704	rs10792263-?	rs10792263	0	10792263	intergenic_variant	1	NR	2E-38	37.69897000433602		0.0270939	[0.023-0.031] unit decrease	Affymetrix [20259828] (imputed)	N
9	chr11:60096240:D	11	60081274	rs7108879	2018-07-20	29777097	Marioni RE	2018-05-18	Transl Psychiatry	www.ncbi.nlm.nih.gov/pubmed/29777097	GWAS on family history of Alzheimer's disease.	Alzheimer's disease or family history of Alzheimer's disease	up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls	NA	11q12.2	NR	MS4A4A - MS4A6E	51338	245802		4829	21081	rs7108879-?	rs7108879	0	7108879	intergenic_variant	1	NR	5E-8	7.301029995663981				Affymetrix [7795605] (imputed)	N
9	rs72924659	11	60099225	rs4939338	2018-07-20	29777097	Marioni RE	2018-05-18	Transl Psychiatry	www.ncbi.nlm.nih.gov/pubmed/29777097	GWAS on family history of Alzheimer's disease.	Alzheimer's disease or family history of Alzheimer's disease	up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls	NA	11q12.2	NR	MS4A4A - MS4A6E	51338	245802		22780	3130	rs4939338-?	rs4939338	0	4939338	intergenic_variant	1	NR	5E-8	7.301029995663981				Affymetrix [7795605] (imputed)	N
10	rs3851179	11	85681583	rs639012	2016-02-03	25778476	Jun G	2015-03-17	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/25778476	A novel Alzheimer disease locus located near the gene encoding tau protein.	Alzheimer's disease in APOE e4+ carriers	10,352 cases, 9,207 controls	1,250 European ancestry cases, 536 European ancestry controls	11q14.2	PICALM	PICALM			8301			rs639012-G	rs639012	0	639012	intron_variant	0	0.7	1E-7	7.0		1.1627907	[1.1-1.22]	NR [NR]	N
10	chr11:85654002:I	11	85715736	rs527162	2018-07-20	29777097	Marioni RE	2018-05-18	Transl Psychiatry	www.ncbi.nlm.nih.gov/pubmed/29777097	GWAS on family history of Alzheimer's disease.	Alzheimer's disease or family history of Alzheimer's disease	up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls	NA	11q14.2	NR	PICALM			8301			rs527162-?	rs527162	0	527162	intron_variant	0	NR	5E-8	7.301029995663981				Affymetrix [7795605] (imputed)	N
10	chr11:85654002:I	11	85731286	rs655641	2017-08-30	27863252	Astle WJ	2016-11-17	Cell	www.ncbi.nlm.nih.gov/pubmed/27863252	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	Platelet count	166,066 European ancestry individuals	NA	11q14.2	PICALM	PICALM			8301			rs655641-G	rs655641	0	655641	intron_variant	0	0.8086	4E-9	8.397940008672037		0.02664876	[0.018-0.036] unit increase	Affymetrix [~ 2500000] (imputed)	N
10	rs3851179	11	85787824	rs536841	2011-06-23	21627779	Antunez C	2011-05-31	Genome Med	www.ncbi.nlm.nih.gov/pubmed/21627779	The membrane-spanning 4-domains, subfamily A (MS4A) gene cluster contains a common variant associated with Alzheimer's disease.	Alzheimer's disease	319 European ancestry cases, 769 European ancestry controls, 2,690 cases, 2,237 controls	4,982 European ancestry cases, 7,961 European ancestry controls, 2,190 cases, 3,374 controls	11q14.2	PICALM	PICALM - RNU6-560P	8301	106480590		6901	76445	rs536841-?	rs536841	0	536841	intergenic_variant	1	NR	3E-9	8.522878745280337		1.16	[NR]	Affymetrix, Illumina [696707] (imputed)	N
10	rs3851179	11	85800279	rs561655	2011-05-24	21460841	Naj AC	2011-04-03	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21460841	Common variants at MS4A4/MS4A6E, CD2AP, CD33 and EPHA1 are associated with late-onset Alzheimer's disease.	Alzheimer's disease (late onset)	8,309 European ancestry cases, 7,366 European ancestry controls	10,523 European ancestry cases, 28,231 European ancestry controls	11q14.2	PICALM	PICALM - RNU6-560P	8301	106480590		19356	63990	rs561655-?	rs561655	0	561655	intergenic_variant	1	0.66	7E-11	10.154901959985743		1.15	[1.10-1.19]	Affymetrix, Illumina [2324889] (imputed)	N
10	rs3851179	11	85831541	rs471470	2016-02-03	25778476	Jun G	2015-03-17	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/25778476	A novel Alzheimer disease locus located near the gene encoding tau protein.	Alzheimer's disease in APOE e4+ carriers	10,352 cases, 9,207 controls	1,250 European ancestry cases, 536 European ancestry controls	11q14.2	PICALM	PICALM - RNU6-560P	8301	106480590		50618	32728	rs471470-A	rs471470	0	471470	intergenic_variant	1	0.68	3E-8	7.522878745280337		1.1627907	[1.1-1.23]	NR [NR]	N
10	rs10751134	11	85839935	rs7114401	2018-07-20	29777097	Marioni RE	2018-05-18	Transl Psychiatry	www.ncbi.nlm.nih.gov/pubmed/29777097	GWAS on family history of Alzheimer's disease.	Alzheimer's disease or family history of Alzheimer's disease	up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls	NA	11q14.2	NR	PICALM - RNU6-560P	8301	106480590		59012	24334	rs7114401-?	rs7114401	0	7114401	intergenic_variant	1	NR	5E-8	7.301029995663981				Affymetrix [7795605] (imputed)	N
