ensg	symbol	chr	start	end	strand	type	entrezID	HUGO	pLI	ncRVIS	posMapSNPs	posMapMaxCADD	minGwasP	IndSigSNPs	GenomicLocus
ENSG00000150672	DLG2	11	83166055	85338966	-1	protein_coding	1740	DLG2	0.673545370161857	0.016729105	129	20.3	5.248e-15	chr11:85654002:I;rs3851179;rs10751134;rs7938634	10
ENSG00000171204	TMEM126B	11	85339629	85347580	1	protein_coding	55863	TMEM126B	0.000531075640903117	0.407304023	136	20.3	5.248e-15	chr11:85654002:I;rs3851179;rs10751134;rs7938634	10
ENSG00000171202	TMEM126A	11	85359011	85367591	1	protein_coding	84233	TMEM126A	0.00487417780484098	-0.18369143	155	20.3	1.626e-15	chr11:85654002:I;rs3851179;rs10751134;rs7938634	10
ENSG00000137504	CREBZF	11	85370752	85393951	-1	protein_coding	58487	CREBZF	0.0366616489719182	-1.530590248	157	20.3	5.809e-16	chr11:85654002:I;rs3851179;rs10751134;rs7938634	10
ENSG00000179071	CCDC89	11	85394893	85397320	-1	protein_coding	220388	CCDC89	0.00582182407300908	0.169509285	157	20.3	5.809e-16	chr11:85654002:I;rs3851179;rs10751134;rs7938634	10
ENSG00000137501	SYTL2	11	85405267	85522184	-1	protein_coding	54843	SYTL2	2.11826952070561e-19	-0.466325238	157	20.3	5.809e-16	chr11:85654002:I;rs3851179;rs10751134;rs7938634	10
ENSG00000215504	AP000974.1	11	85563600	85565986	-1	protein_coding	NA	NA	NA	NA	157	20.3	5.809e-16	chr11:85654002:I;rs3851179;rs10751134;rs7938634	10
ENSG00000150676	CCDC83	11	85566144	85631064	1	protein_coding	220047	CCDC83	6.83032869950337e-07	-0.131602706	157	20.3	5.809e-16	chr11:85654002:I;rs3851179;rs10751134;rs7938634	10
ENSG00000073921	PICALM	11	85668727	85780924	-1	protein_coding	8301	PICALM	0.972083090436883	NA	157	20.3	5.809e-16	chr11:85654002:I;rs3851179;rs10751134;rs7938634	10
ENSG00000074266	EED	11	85955586	85989855	1	protein_coding	8726	EED	0.997671033484958	-0.584695152	157	20.3	5.809e-16	chr11:85654002:I;rs3851179;rs10751134;rs7938634	10
ENSG00000149196	C11orf73	11	86013253	86056969	1	protein_coding	51501	C11orf73	0.769988210012451	0.041512225	157	20.3	5.809e-16	chr11:85654002:I;rs3851179;rs10751134;rs7938634	10
ENSG00000149201	CCDC81	11	86085778	86134151	1	protein_coding	60494	CCDC81	2.78823114302232e-09	0.377653908	157	20.3	5.809e-16	chr11:85654002:I;rs3851179;rs10751134;rs7938634	10
ENSG00000151376	ME3	11	86152150	86383678	-1	protein_coding	10873	ME3	1.1418824476976e-05	0.141730303	157	20.3	5.809e-16	chr11:85654002:I;rs3851179;rs10751134;rs7938634	10
ENSG00000154114	TBCEL	11	120894781	120961484	1	protein_coding	219899	TBCEL	0.971498208896393	-0.446397906	3	1.393	2.633e-08	rs11218343	11
ENSG00000109927	TECTA	11	120971882	121062202	1	protein_coding	7007	TECTA	1.06498565113514e-12	-0.070757537	3	1.393	2.633e-08	rs11218343	11
ENSG00000109929	SC5D	11	121163162	121179403	1	protein_coding	6309	SC5D	0.103132834566042	-1.117246276	3	1.393	2.633e-08	rs11218343	11
ENSG00000137642	SORL1	11	121322912	121504402	1	protein_coding	6653	SORL1	0.0174141233573499	-0.445132622	3	1.393	2.633e-08	rs11218343	11
ENSG00000100815	TRIP11	14	92432335	92507240	-1	protein_coding	9321	TRIP11	2.34458214955102e-09	0.045929126	1	8.832	8.729e-09	rs12590654	12
ENSG00000066427	ATXN3	14	92524896	92572965	-1	protein_coding	4287	ATXN3	0.176363907956847	0.167111434	1	8.832	8.729e-09	rs12590654	12
ENSG00000183648	NDUFB1	14	92582466	92588261	-1	protein_coding	4707	NDUFB1	0.311678002538598	0.159780529	1	8.832	8.729e-09	rs12590654	12
ENSG00000165934	CPSF2	14	92588281	92630755	1	protein_coding	53981	CPSF2	7.81001536480669e-05	-0.247446001	1	8.832	8.729e-09	rs12590654	12
ENSG00000140090	SLC24A4	14	92788925	92962596	1	protein_coding	123041	SLC24A4	3.16711232181816e-06	-0.678266133	1	8.832	8.729e-09	rs12590654	12
ENSG00000100599	RIN3	14	92980118	93155339	1	protein_coding	79890	RIN3	0.000276829502107209	NA	1	8.832	8.729e-09	rs12590654	12
ENSG00000100600	LGMN	14	93170152	93215047	-1	protein_coding	5641	LGMN	0.00097489450100372	-0.805784654	1	8.832	8.729e-09	rs12590654	12
ENSG00000066455	GOLGA5	14	93260576	93306308	1	protein_coding	9950	GOLGA5	0.363133884753824	-1.09554397	1	8.832	8.729e-09	rs12590654	12
ENSG00000100604	CHGA	14	93389425	93401638	1	protein_coding	1113	CHGA	0.000145486160271026	NA	1	8.832	8.729e-09	rs12590654	12
ENSG00000100605	ITPK1	14	93403259	93582665	-1	protein_coding	3705	ITPK1	0.987051326793078	2.70408068	1	8.832	8.729e-09	rs12590654	12
ENSG00000099804	CDC34	19	531714	542097	1	protein_coding	997	CDC34	0.56046297683146	NA	6	7.607	7.445e-09	rs3795065;rs3764642	13
ENSG00000197540	GZMM	19	544034	549919	1	protein_coding	3004	GZMM	0.00121003300542887	-0.065854896	15	8.312	7.445e-09	rs3795065;rs3764642;rs4147910	13
ENSG00000172270	BSG	19	571297	583493	1	protein_coding	682	BSG	0.0573043629421646	NA	20	8.312	2.562e-10	rs3795065;rs3764642;rs4147910;rs12151021;rs3752246	13
ENSG00000099822	HCN2	19	589893	617159	1	protein_coding	610	HCN2	0.832343161848257	NA	20	8.312	2.562e-10	rs3795065;rs3764642;rs4147910;rs12151021;rs3752246	13
ENSG00000099821	POLRMT	19	617223	633597	-1	protein_coding	5442	POLRMT	2.5979329788051e-13	NA	20	8.312	2.562e-10	rs3795065;rs3764642;rs4147910;rs12151021;rs3752246	13
ENSG00000070388	FGF22	19	639879	643703	1	protein_coding	27006	FGF22	0.000103153895712467	NA	20	8.312	2.562e-10	rs3795065;rs3764642;rs4147910;rs12151021;rs3752246	13
ENSG00000070423	RNF126	19	647526	663277	-1	protein_coding	55658	RNF126	0.774554603279982	NA	20	8.312	2.562e-10	rs3795065;rs3764642;rs4147910;rs12151021;rs3752246	13
ENSG00000070404	FSTL3	19	676392	683385	1	protein_coding	10272	FSTL3	0.418831972518919	0.473007728	20	8.312	2.562e-10	rs3795065;rs3764642;rs4147910;rs12151021;rs3752246	13
ENSG00000185198	PRSS57	19	685521	695460	-1	protein_coding	400668	PRSS57	1.72723245472858e-07	0.181903428	20	8.312	2.562e-10	rs3795065;rs3764642;rs4147910;rs12151021;rs3752246	13
ENSG00000099864	PALM	19	708953	748329	1	protein_coding	5064	PALM	0.393531038933643	NA	20	8.312	2.562e-10	rs3795065;rs3764642;rs4147910;rs12151021;rs3752246	13
ENSG00000099812	MISP	19	751126	764319	1	protein_coding	126353	MISP	1.94870607708529e-10	0.72282208	20	8.312	2.562e-10	rs3795065;rs3764642;rs4147910;rs12151021;rs3752246	13
ENSG00000011304	PTBP1	19	797075	812327	1	protein_coding	5725	PTBP1	0.998739199526157	-0.850137782	20	8.312	2.562e-10	rs3795065;rs3764642;rs4147910;rs12151021;rs3752246	13
ENSG00000129951	LPPR3	19	812518	821967	-1	protein_coding	79948	PLPPR3	0.0562793079796428	NA	20	8.312	2.562e-10	rs3795065;rs3764642;rs4147910;rs12151021;rs3752246	13
ENSG00000172232	AZU1	19	825097	832017	1	protein_coding	566	AZU1	8.74467686278012e-05	-0.129000944	20	8.312	2.562e-10	rs3795065;rs3764642;rs4147910;rs12151021;rs3752246	13
ENSG00000196415	PRTN3	19	840963	848175	1	protein_coding	5657	PRTN3	0.000831488795975963	0.362169446	20	8.312	2.562e-10	rs3795065;rs3764642;rs4147910;rs12151021;rs3752246	13
ENSG00000197561	ELANE	19	851014	856242	1	protein_coding	1991	ELANE	0.767207228111322	-0.183132769	20	8.312	2.562e-10	rs3795065;rs3764642;rs4147910;rs12151021;rs3752246	13
ENSG00000197766	CFD	19	859453	863453	1	protein_coding	1675	CFD	0.0195668736380904	0.507441547	20	8.312	2.562e-10	rs3795065;rs3764642;rs4147910;rs12151021;rs3752246	13
ENSG00000175221	MED16	19	867962	893218	-1	protein_coding	10025	MED16	0.0187661183097687	-0.01404265	20	8.312	2.562e-10	rs3795065;rs3764642;rs4147910;rs12151021;rs3752246	13
ENSG00000198858	R3HDM4	19	896503	913240	-1	protein_coding	91300	R3HDM4	0.0193453111593238	0.064464367	20	8.312	2.562e-10	rs3795065;rs3764642;rs4147910;rs12151021;rs3752246	13
ENSG00000116014	KISS1R	19	917287	921015	1	protein_coding	84634	KISS1R	0.00397107374528621	NA	20	8.312	2.562e-10	rs3795065;rs3764642;rs4147910;rs12151021;rs3752246	13
ENSG00000116017	ARID3A	19	925781	975939	1	protein_coding	1820	ARID3A	0.425084301076406	0.184301916	20	8.312	2.562e-10	rs3795065;rs3764642;rs4147910;rs12151021;rs3752246	13
ENSG00000065268	WDR18	19	983174	994569	1	protein_coding	57418	WDR18	0.901607559974541	0.476593443	20	8.312	2.562e-10	rs3795065;rs3764642;rs4147910;rs12151021;rs3752246	13
ENSG00000269169	AC004528.1	19	999601	999952	1	protein_coding	NA	NA	NA	NA	20	8.312	2.562e-10	rs3795065;rs3764642;rs4147910;rs12151021;rs3752246	13
ENSG00000116032	GRIN3B	19	1000418	1009731	1	protein_coding	116444	GRIN3B	0.00111371164374087	NA	20	8.312	2.562e-10	rs3795065;rs3764642;rs4147910;rs12151021;rs3752246	13
ENSG00000182087	TMEM259	19	1009647	1021117	-1	protein_coding	91304	TMEM259	0.899319773250088	1.502767436	20	8.312	2.562e-10	rs3795065;rs3764642;rs4147910;rs12151021;rs3752246	13
ENSG00000064666	CNN2	19	1026298	1039068	1	protein_coding	1265	CNN2	0.212309400922857	2.877068271	20	8.312	2.562e-10	rs3795065;rs3764642;rs4147910;rs12151021;rs3752246	13
ENSG00000064687	ABCA7	19	1040102	1065571	1	protein_coding	10347	ABCA7	1.89160398990449e-36	0.328501233	20	8.312	2.562e-10	rs3795065;rs3764642;rs4147910;rs12151021;rs3752246	13
ENSG00000180448	HMHA1	19	1065922	1086627	1	protein_coding	23526	HMHA1	0.453633762319863	0.891153206	20	8.312	2.562e-10	rs3795065;rs3764642;rs4147910;rs12151021;rs3752246	13
ENSG00000099817	POLR2E	19	1086594	1095598	-1	protein_coding	5434	POLR2E	4.40648501422082e-08	1.728639666	20	8.312	2.562e-10	rs3795065;rs3764642;rs4147910;rs12151021;rs3752246	13
ENSG00000167468	GPX4	19	1103936	1106787	1	protein_coding	2879	GPX4	0.0173298887825943	NA	20	8.312	2.562e-10	rs3795065;rs3764642;rs4147910;rs12151021;rs3752246	13
ENSG00000064932	SBNO2	19	1107636	1174282	-1	protein_coding	22904	SBNO2	0.0244237651687452	NA	20	8.312	2.562e-10	rs3795065;rs3764642;rs4147910;rs12151021;rs3752246	13
ENSG00000118046	STK11	19	1189406	1228428	1	protein_coding	6794	STK11	0.978282902427481	NA	20	8.312	2.562e-10	rs3795065;rs3764642;rs4147910;rs12151021;rs3752246	13
ENSG00000099625	C19orf26	19	1228286	1238026	-1	protein_coding	255057	C19orf26	0.00372342728639336	NA	20	8.312	2.562e-10	rs3795065;rs3764642;rs4147910;rs12151021;rs3752246	13
ENSG00000099624	ATP5D	19	1241749	1244824	1	protein_coding	513	ATP5D	0.00118323811959957	-0.095359488	20	8.312	2.562e-10	rs3795065;rs3764642;rs4147910;rs12151021;rs3752246	13
ENSG00000167470	MIDN	19	1248552	1259142	1	protein_coding	90007	MIDN	0.0490626513742138	NA	20	8.312	2.562e-10	rs3795065;rs3764642;rs4147910;rs12151021;rs3752246	13
ENSG00000099622	CIRBP	19	1259384	1274879	1	protein_coding	1153	CIRBP	0.622585655314118	-0.939230498	20	8.312	2.562e-10	rs3795065;rs3764642;rs4147910;rs12151021;rs3752246	13
ENSG00000228300	C19orf24	19	1275026	1279248	1	protein_coding	55009	C19orf24	NA	NA	20	8.312	2.562e-10	rs3795065;rs3764642;rs4147910;rs12151021;rs3752246	13
ENSG00000160953	MUM1	19	1285890	1378430	1	protein_coding	84939	MUM1	0.032092632530893	-1.085113834	20	8.312	2.562e-10	rs3795065;rs3764642;rs4147910;rs12151021;rs3752246	13
ENSG00000099617	EFNA2	19	1286153	1301430	1	protein_coding	1943	EFNA2	0.376749730846869	NA	20	8.312	2.562e-10	rs3795065;rs3764642;rs4147910;rs12151021;rs3752246	13
ENSG00000115286	NDUFS7	19	1383526	1395583	1	protein_coding	374291	NDUFS7	0.750835828529347	-0.089930408	20	8.312	2.562e-10	rs3795065;rs3764642;rs4147910;rs12151021;rs3752246	13
ENSG00000130005	GAMT	19	1397091	1401569	-1	protein_coding	2593	GAMT	2.64994350917261e-05	NA	20	8.312	2.562e-10	rs3795065;rs3764642;rs4147910;rs12151021;rs3752246	13
ENSG00000071626	DAZAP1	19	1407568	1435719	1	protein_coding	26528	DAZAP1	0.999571003507893	NA	20	8.312	2.562e-10	rs3795065;rs3764642;rs4147910;rs12151021;rs3752246	13
ENSG00000115268	RPS15	19	1438358	1440583	1	protein_coding	6209	RPS15	0.697325164941198	-0.571172021	20	8.312	2.562e-10	rs3795065;rs3764642;rs4147910;rs12151021;rs3752246	13
ENSG00000268798	AC027307.3	19	1440838	1441937	1	protein_coding	NA	NA	NA	NA	20	8.312	2.562e-10	rs3795065;rs3764642;rs4147910;rs12151021;rs3752246	13
ENSG00000115266	APC2	19	1446300	1473243	1	protein_coding	10297	APC2	0.999980518341102	2.525844067	20	8.312	2.562e-10	rs3795065;rs3764642;rs4147910;rs12151021;rs3752246	13
ENSG00000119559	C19orf25	19	1461142	1479555	-1	protein_coding	148223	C19orf25	0.0343632220806308	-0.741284732	20	8.312	2.562e-10	rs3795065;rs3764642;rs4147910;rs12151021;rs3752246	13
ENSG00000115257	PCSK4	19	1481427	1490751	-1	protein_coding	54760	PCSK4	6.59246485167205e-13	0.656883014	20	8.312	2.562e-10	rs3795065;rs3764642;rs4147910;rs12151021;rs3752246	13
ENSG00000115255	REEP6	19	1491165	1497926	1	protein_coding	92840	REEP6	0.000463081508958989	NA	20	8.312	2.562e-10	rs3795065;rs3764642;rs4147910;rs12151021;rs3752246	13
ENSG00000185761	ADAMTSL5	19	1505017	1513603	-1	protein_coding	339366	ADAMTSL5	3.22271116895574e-10	0.121088645	20	8.312	2.562e-10	rs3795065;rs3764642;rs4147910;rs12151021;rs3752246	13
ENSG00000185988	PLK5	19	1524073	1535455	1	protein_coding	126520	PLK5	0.0716254602582295	3.046001072	20	8.312	2.562e-10	rs3795065;rs3764642;rs4147910;rs12151021;rs3752246	13
ENSG00000181588	MEX3D	19	1554668	1568057	-1	protein_coding	399664	MEX3D	NA	NA	4	5.932	6.621e-10	rs3752246	13
ENSG00000267022	ZNF223	19	44529506	44591471	1	protein_coding	7766	ZNF223	NA	0.204654881	18	14.14	1.35e-12	rs62118204;rs846881;rs846876	14
ENSG00000178386	ZNF223	19	44555520	44572144	1	protein_coding	7766	ZNF223	5.14224553323192e-09	0.204654881	12	14.14	4.903e-09	rs62118204;rs846881;rs846876	14
ENSG00000186026	ZNF284	19	44576297	44593766	1	protein_coding	342909	ZNF284	7.90018316515337e-09	0.721071866	18	14.14	1.35e-12	rs62118204;rs846881;rs846876	14
ENSG00000267680	ZNF224	19	44598492	44612479	1	protein_coding	7767	ZNF224	2.0744645910844e-09	-0.281087996	18	14.14	1.35e-12	rs62118204;rs846881;rs846876	14
ENSG00000256294	ZNF225	19	44616334	44637027	1	protein_coding	7768	ZNF225	3.36669333303033e-08	0.547354183	33	14.14	1.35e-12	rs62118204;rs846881;rs846876;rs2289494;rs112027066;rs7260482	14
ENSG00000263002	ZNF234	19	44645710	44663156	1	protein_coding	10780	ZNF234	1.07736675935267e-13	-0.020937289	55	14.14	2.787e-15	rs62118204;rs846881;rs846876;rs2289494;rs112027066;rs7260482;rs714948	14
ENSG00000167380	ZNF226	19	44669226	44682534	1	protein_coding	7769	ZNF226	5.26919185197287e-15	-0.050655376	59	14.46	2.166e-37	rs62118204;rs846881;rs846876;rs2289494;rs112027066;rs7260482;rs714948;chr19:45195744:I;rs142034848	14
ENSG00000131115	ZNF227	19	44711700	44741421	1	protein_coding	7770	ZNF227	1.69159989152872e-05	0.350230355	149	22	2.166e-37	rs62118204;rs846881;rs846876;rs2289494;rs112027066;rs7260482;rs714948;chr19:45195744:I;rs142034848;rs186110295;rs151330717;rs73035597;rs79638902;rs111278137;rs11881756;rs73037426;rs8108110;rs7257231;rs7254776;rs10422350;rs2927437;rs62117206;rs62117160;chr19:45253542:I;rs8103315;chr19:45241248:I	14
ENSG00000159917	ZNF235	19	44732882	44809199	-1	protein_coding	9310	ZNF235	1.85820362433789e-10	-0.818454032	240	27.4	8.955e-40	rs62118204;rs846881;rs846876;rs2289494;rs112027066;rs7260482;rs714948;chr19:45195744:I;rs142034848;rs186110295;rs151330717;rs73035597;rs79638902;rs111278137;rs11881756;rs73037426;rs8108110;rs7257231;rs7254776;rs10422350;rs2927437;rs62117206;rs62117160;chr19:45253542:I;rs8103315;chr19:45241248:I;rs12459810;rs148933445;chr19:45253611:D;rs35106910;rs145414981;rs140824606;chr19:45276590:D;rs2967668;chr19:45311305:D;rs112450640;chr19:45303122:D;rs139246905;rs2889414;chr19:45301426:I	14
ENSG00000159915	ZNF233	19	44754318	44779470	1	protein_coding	353355	ZNF233	3.27015906549736e-17	-0.066961399	195	22	8.955e-40	rs62118204;rs846881;rs846876;rs2289494;rs112027066;rs7260482;rs714948;chr19:45195744:I;rs142034848;rs186110295;rs151330717;rs73035597;rs79638902;rs111278137;rs11881756;rs73037426;rs8108110;rs7257231;rs7254776;rs10422350;rs2927437;rs62117206;rs62117160;chr19:45253542:I;rs8103315;chr19:45241248:I;rs12459810;rs148933445;chr19:45253611:D;rs35106910;rs145414981;rs140824606;chr19:45276590:D	14
ENSG00000062370	ZNF112	19	44830708	44871377	-1	protein_coding	7771	ZNF112	0.154211257518811	0.038237323	453	27.4	3.17e-233	rs62118204;rs846881;rs846876;rs2289494;rs112027066;rs7260482;rs714948;chr19:45195744:I;rs142034848;rs186110295;rs151330717;rs73035597;rs79638902;rs111278137;rs11881756;rs73037426;rs8108110;rs7257231;rs7254776;rs10422350;rs2927437;rs62117206;rs62117160;chr19:45253542:I;rs8103315;chr19:45241248:I;rs12459810;rs148933445;chr19:45253611:D;rs35106910;rs145414981;rs140824606;chr19:45276590:D;rs2967668;chr19:45311305:D;rs112450640;chr19:45303122:D;rs139246905;rs2889414;chr19:45301426:I;rs73048258;rs28399607;rs41290120;rs1135062;chr19:45323170:D;rs28399635;rs28399637;rs28399664;rs1871046;rs10407439;rs4802238;rs56394238;rs2972555;rs78986976;rs7343130;rs7249933;chr19:45356752:I;rs12691088;rs55840414;rs149661872;rs2972566;rs111371860;rs12974942;rs77241309;rs57537848;rs71364511;chr19:45371685:I;rs2972558;rs10410835;rs406315;rs365653;rs138607350;rs3112439;rs112422902	14
ENSG00000267173	CTC-512J12.6	19	44833848	44905774	-1	protein_coding	NA	NA	NA	NA	551	27.4	0	rs62118204;rs846881;rs846876;rs2289494;rs112027066;rs7260482;rs714948;chr19:45195744:I;rs142034848;rs186110295;rs151330717;rs73035597;rs79638902;rs111278137;rs11881756;rs73037426;rs8108110;rs7257231;rs7254776;rs10422350;rs2927437;rs62117206;rs62117160;chr19:45253542:I;rs8103315;chr19:45241248:I;rs12459810;rs148933445;chr19:45253611:D;rs35106910;rs145414981;rs140824606;chr19:45276590:D;rs2967668;chr19:45311305:D;rs112450640;chr19:45303122:D;rs139246905;rs2889414;chr19:45301426:I;rs73048258;rs28399607;rs41290120;rs1135062;chr19:45323170:D;rs28399635;rs28399637;rs28399664;rs1871046;rs10407439;rs4802238;rs56394238;rs2972555;rs78986976;rs7343130;rs7249933;chr19:45356752:I;rs12691088;rs55840414;rs149661872;rs2972566;rs111371860;rs12974942;rs77241309;rs57537848;rs71364511;chr19:45371685:I;rs2972558;rs10410835;rs406315;rs365653;rs138607350;rs3112439;rs112422902;rs11673139;rs150639620;chr19:45372866:D;chr19:45376044:D;rs393584;rs41290108;rs76692773;rs6859;rs3852861;rs144261139;chr19:45406538:I;rs34095326;rs77301115;rs283808;rs283810;rs283814;rs7256200;rs157580;rs73936968;rs11668327;rs35568738;rs405697;rs72654472	14
ENSG00000267508	ZNF285	19	44886459	44905774	-1	protein_coding	26974	ZNF285	0.00240305532090865	0.299255157	551	27.4	0	rs62118204;rs846881;rs846876;rs2289494;rs112027066;rs7260482;rs714948;chr19:45195744:I;rs142034848;rs186110295;rs151330717;rs73035597;rs79638902;rs111278137;rs11881756;rs73037426;rs8108110;rs7257231;rs7254776;rs10422350;rs2927437;rs62117206;rs62117160;chr19:45253542:I;rs8103315;chr19:45241248:I;rs12459810;rs148933445;chr19:45253611:D;rs35106910;rs145414981;rs140824606;chr19:45276590:D;rs2967668;chr19:45311305:D;rs112450640;chr19:45303122:D;rs139246905;rs2889414;chr19:45301426:I;rs73048258;rs28399607;rs41290120;rs1135062;chr19:45323170:D;rs28399635;rs28399637;rs28399664;rs1871046;rs10407439;rs4802238;rs56394238;rs2972555;rs78986976;rs7343130;rs7249933;chr19:45356752:I;rs12691088;rs55840414;rs149661872;rs2972566;rs111371860;rs12974942;rs77241309;rs57537848;rs71364511;chr19:45371685:I;rs2972558;rs10410835;rs406315;rs365653;rs138607350;rs3112439;rs112422902;rs11673139;rs150639620;chr19:45372866:D;chr19:45376044:D;rs393584;rs41290108;rs76692773;rs6859;rs3852861;rs144261139;chr19:45406538:I;rs34095326;rs77301115;rs283808;rs283810;rs283814;rs7256200;rs157580;rs73936968;rs11668327;rs35568738;rs405697;rs72654472	14
ENSG00000167383	ZNF229	19	44921685	44952766	-1	protein_coding	7772	ZNF229	6.30663414582273e-09	2.836421684	647	30	0	rs62118204;rs846881;rs846876;rs2289494;rs112027066;rs7260482;rs714948;chr19:45195744:I;rs142034848;rs186110295;rs151330717;rs73035597;rs79638902;rs111278137;rs11881756;rs73037426;rs8108110;rs7257231;rs7254776;rs10422350;rs2927437;rs62117206;rs62117160;chr19:45253542:I;rs8103315;chr19:45241248:I;rs12459810;rs148933445;chr19:45253611:D;rs35106910;rs145414981;rs140824606;chr19:45276590:D;rs2967668;chr19:45311305:D;rs112450640;chr19:45303122:D;rs139246905;rs2889414;chr19:45301426:I;rs73048258;rs28399607;rs41290120;rs1135062;chr19:45323170:D;rs28399635;rs28399637;rs28399664;rs1871046;rs10407439;rs4802238;rs56394238;rs2972555;rs78986976;rs7343130;rs7249933;chr19:45356752:I;rs12691088;rs55840414;rs149661872;rs2972566;rs111371860;rs12974942;rs77241309;rs57537848;rs71364511;chr19:45371685:I;rs2972558;rs10410835;rs406315;rs365653;rs138607350;rs3112439;rs112422902;rs11673139;rs150639620;chr19:45372866:D;chr19:45376044:D;rs393584;rs41290108;rs76692773;rs6859;rs3852861;rs144261139;chr19:45406538:I;rs34095326;rs77301115;rs283808;rs283810;rs283814;rs7256200;rs157580;rs73936968;rs11668327;rs35568738;rs405697;rs72654472;rs449647;rs769446;rs59325138;rs814573;rs7412;rs157595;rs1064725;rs72654437;rs72654445;rs3925681;rs71352239;rs144311893;rs139136389;rs60049679;chr19:45432505:I;rs7254133;rs73045691;rs1132899;rs79429216;rs12721109	14
ENSG00000167384	ZNF180	19	44979854	45004576	-1	protein_coding	7733	ZNF180	7.35726181171227e-06	0.745753328	791	30	0	rs62118204;rs846881;rs846876;rs2289494;rs112027066;rs7260482;rs714948;chr19:45195744:I;rs142034848;rs186110295;rs151330717;rs73035597;rs79638902;rs111278137;rs11881756;rs73037426;rs8108110;rs7257231;rs7254776;rs10422350;rs2927437;rs62117206;rs62117160;chr19:45253542:I;rs8103315;chr19:45241248:I;rs12459810;rs148933445;chr19:45253611:D;rs35106910;rs145414981;rs140824606;chr19:45276590:D;rs2967668;chr19:45311305:D;rs112450640;chr19:45303122:D;rs139246905;rs2889414;chr19:45301426:I;rs73048258;rs28399607;rs41290120;rs1135062;chr19:45323170:D;rs28399635;rs28399637;rs28399664;rs1871046;rs10407439;rs4802238;rs56394238;rs2972555;rs78986976;rs7343130;rs7249933;chr19:45356752:I;rs12691088;rs55840414;rs149661872;rs2972566;rs111371860;rs12974942;rs77241309;rs57537848;rs71364511;chr19:45371685:I;rs2972558;rs10410835;rs406315;rs365653;rs138607350;rs3112439;rs112422902;rs11673139;rs150639620;chr19:45372866:D;chr19:45376044:D;rs393584;rs41290108;rs76692773;rs6859;rs3852861;rs144261139;chr19:45406538:I;rs34095326;rs77301115;rs283808;rs283810;rs283814;rs7256200;rs157580;rs73936968;rs11668327;rs35568738;rs405697;rs72654472;rs449647;rs769446;rs59325138;rs814573;rs7412;rs157595;rs1064725;rs72654437;rs72654445;rs3925681;rs71352239;rs144311893;rs139136389;rs60049679;chr19:45432505:I;rs7254133;rs73045691;rs1132899;rs79429216;rs12721109;rs117316645;rs8102895;rs143674704;rs75178253;rs10775543;rs2376866;rs145639166;rs117261169	14
ENSG00000216588	IGSF23	19	45116940	45140081	1	protein_coding	147710	IGSF23	NA	0.573724812	888	30	0	rs62118204;rs846881;rs846876;rs2289494;rs112027066;rs7260482;rs714948;chr19:45195744:I;rs142034848;rs186110295;rs151330717;rs73035597;rs79638902;rs111278137;rs11881756;rs73037426;rs8108110;rs7257231;rs7254776;rs10422350;rs2927437;rs62117206;rs62117160;chr19:45253542:I;rs8103315;chr19:45241248:I;rs12459810;rs148933445;chr19:45253611:D;rs35106910;rs145414981;rs140824606;chr19:45276590:D;rs2967668;chr19:45311305:D;rs112450640;chr19:45303122:D;rs139246905;rs2889414;chr19:45301426:I;rs73048258;rs28399607;rs41290120;rs1135062;chr19:45323170:D;rs28399635;rs28399637;rs28399664;rs1871046;rs10407439;rs4802238;rs56394238;rs2972555;rs78986976;rs7343130;rs7249933;chr19:45356752:I;rs12691088;rs55840414;rs149661872;rs2972566;rs111371860;rs12974942;rs77241309;rs57537848;rs71364511;chr19:45371685:I;rs2972558;rs10410835;rs406315;rs365653;rs138607350;rs3112439;rs112422902;rs11673139;rs150639620;chr19:45372866:D;chr19:45376044:D;rs393584;rs41290108;rs76692773;rs6859;rs3852861;rs144261139;chr19:45406538:I;rs34095326;rs77301115;rs283808;rs283810;rs283814;rs7256200;rs157580;rs73936968;rs11668327;rs35568738;rs405697;rs72654472;rs449647;rs769446;rs59325138;rs814573;rs7412;rs157595;rs1064725;rs72654437;rs72654445;rs3925681;rs71352239;rs144311893;rs139136389;rs60049679;chr19:45432505:I;rs7254133;rs73045691;rs1132899;rs79429216;rs12721109;rs117316645;rs8102895;rs143674704;rs75178253;rs10775543;rs2376866;rs145639166;rs117261169;rs35194062;rs35194383;rs28809016;rs147188206;chr19:45516713:I;rs112380717;rs62117224;rs142380271;rs1971786;rs34583389;chr19:45531618:D;rs1968449;rs112481437;rs7259034;rs139995984;rs8100183;rs17643262;rs150685845;rs12461065;rs75463276	14
